"sim17_repl1_input","sim17_repl1_high","sim17_repl1_med","sim17_repl1_low","sim17_repl2_input","sim17_repl2_high","sim17_repl2_med","sim17_repl2_low"
9,9,7,17,27,25,34,29
4,8,11,3,0,0,0,0
6,4,3,2,14,13,7,11
16,10,13,26,0,0,0,0
4,10,3,1,0,0,1,2
63,44,56,18,0,0,0,0
0,0,0,0,0,1,0,1
0,0,0,0,3,4,3,0
4,3,5,1,5,5,3,3
3,2,4,3,28,18,33,5
48,58,53,100,0,1,3,1
25,21,11,1,6,2,3,1
9,6,10,27,23,19,21,26
1,0,1,2,0,0,1,0
16,11,17,31,11,7,9,2
38,53,38,16,1,0,0,1
0,4,2,2,9,17,9,30
74,72,66,75,0,0,1,0
62,51,71,77,99,97,100,200
10,4,5,4,5,3,3,0
5,5,2,0,18,25,25,7
0,0,0,0,24,23,25,13
20,27,21,4,22,12,8,15
11,18,12,16,2,1,3,3
4,4,11,13,0,0,0,0
0,0,0,0,7,2,2,2
81,63,56,26,6,7,4,3
6,5,4,5,2,6,4,4
25,15,13,28,31,31,34,26
1,1,2,1,0,0,0,0
20,15,22,20,9,14,9,2
19,15,22,38,3,0,1,1
11,10,8,2,6,2,8,1
3,4,2,3,35,36,26,1
6,5,10,6,27,31,22,32
23,31,38,61,13,8,14,3
39,26,23,6,9,16,8,25
0,3,3,1,20,23,21,36
28,15,35,39,35,39,41,14
5,3,3,8,0,1,0,0
0,1,0,0,0,0,0,0
10,14,3,7,6,0,4,0
0,0,0,1,0,0,0,2
1,3,2,1,35,36,51,23
0,1,2,1,5,5,5,3
42,55,40,16,21,11,16,7
18,29,25,10,45,40,34,15
2,3,4,1,44,42,31,29
0,0,0,0,9,4,8,2
7,5,9,0,51,49,48,45
0,0,0,0,27,24,19,54
78,68,86,32,23,20,12,41
6,2,2,7,0,1,1,1
8,7,10,33,0,0,0,0
3,3,3,0,74,67,68,52
8,7,5,13,33,33,26,50
33,17,24,48,0,0,0,0
34,27,33,15,13,17,7,10
12,20,10,0,1,3,5,0
10,7,4,0,0,0,0,0
4,3,6,1,0,0,0,0
0,0,0,0,39,24,47,55
19,17,12,16,23,36,18,19
0,1,1,1,0,0,0,0
0,0,0,0,0,1,0,2
1,3,0,1,13,12,20,16
1,3,1,0,0,0,0,0
3,0,0,1,8,3,5,2
0,0,0,0,4,5,2,8
13,17,14,8,3,5,0,0
17,15,17,10,21,21,25,14
2,1,0,0,6,7,5,11
7,6,5,10,0,0,0,0
8,8,12,11,8,8,4,1
10,17,16,4,43,36,28,52
2,2,1,6,2,5,0,6
2,2,4,4,1,0,0,2
18,16,22,42,8,6,6,12
3,4,4,8,9,14,6,17
8,6,5,8,24,16,16,19
6,4,10,6,4,17,8,5
0,0,0,0,0,1,1,0
62,61,57,62,23,9,13,1
37,41,44,17,18,15,10,7
1,1,1,2,10,6,10,2
0,0,0,0,9,5,7,6
37,39,30,51,15,14,13,19
0,0,0,0,80,86,66,189
38,30,22,86,6,3,5,4
112,93,115,79,8,19,7,23
23,43,23,5,1,0,2,0
0,1,3,1,2,3,11,6
67,79,47,43,5,1,3,5
0,1,1,4,21,29,11,36
1,1,2,4,2,3,3,7
6,5,5,3,26,34,24,25
32,40,25,42,38,57,56,26
3,1,0,2,2,2,3,5
23,24,29,7,5,11,10,4
3,5,2,2,22,13,13,38
8,2,2,0,0,0,0,0
44,33,52,69,13,21,13,13
20,22,8,20,49,59,26,79
0,0,0,0,2,4,3,2
18,23,20,11,18,17,28,1
16,13,9,8,0,0,1,1
24,19,17,14,0,0,0,0
0,0,0,0,62,52,46,10
6,5,1,17,1,2,0,0
0,2,1,0,1,5,3,3
0,0,0,0,0,0,0,0
2,3,5,4,8,8,7,25
0,0,0,0,1,3,0,3
36,35,33,2,11,10,6,16
0,1,0,0,2,2,3,0
26,13,14,20,0,0,0,0
0,2,2,0,2,0,0,1
10,2,14,4,12,3,9,1
29,36,26,33,25,22,19,37
20,12,22,70,2,1,0,1
5,7,5,9,17,20,19,0
29,24,26,10,28,27,29,36
1,0,0,2,12,9,9,17
0,0,0,0,5,2,9,7
57,52,61,8,0,0,0,0
1,2,2,0,22,20,15,48
17,16,15,28,33,54,45,64
17,22,10,18,8,15,10,22
83,86,105,110,8,0,3,4
13,15,11,9,60,40,59,21
7,11,8,0,1,1,0,0
1,2,2,0,49,38,36,43
0,0,0,1,7,10,8,24
0,0,0,0,15,5,15,11
0,2,2,1,0,1,0,0
3,1,5,0,1,5,3,2
30,21,28,29,50,79,67,95
18,21,12,1,22,16,21,25
4,1,2,4,5,3,3,8
11,13,11,3,1,0,1,1
7,8,4,3,0,1,2,1
0,0,0,0,20,16,12,6
6,9,9,6,3,5,5,12
0,0,1,0,1,1,1,1
0,0,0,0,87,76,118,162
26,25,17,3,1,1,0,0
6,15,12,5,10,10,7,1
0,0,0,0,6,11,4,2
2,1,4,2,0,0,0,0
10,14,19,2,0,0,0,0
0,2,2,4,2,1,2,0
3,0,2,0,44,39,40,2
1,3,1,1,0,0,0,0
15,20,19,20,1,1,1,1
3,2,10,1,3,0,1,1
0,0,0,0,0,0,0,0
42,40,51,8,0,0,0,0
4,11,11,10,1,4,2,1
17,21,21,30,20,17,19,14
1,3,1,2,15,9,10,17
5,9,7,7,0,1,0,0
9,9,8,7,2,0,1,0
0,0,0,0,51,70,62,118
23,24,22,44,31,44,35,24
2,4,0,1,0,0,0,0
0,0,1,1,2,2,4,2
21,27,23,8,9,7,4,5
98,83,74,62,0,0,0,0
12,14,17,13,42,43,46,64
16,22,21,22,15,21,23,5
31,27,32,55,40,31,50,22
0,0,0,0,40,50,34,60
13,12,15,10,0,0,0,0
41,29,39,4,26,36,19,7
0,0,0,0,2,5,3,11
4,2,11,3,0,1,1,1
8,4,7,0,7,7,8,4
1,0,5,5,0,0,0,0
18,23,21,7,3,1,2,2
4,9,7,4,6,4,4,8
0,2,1,0,8,8,8,25
0,0,0,0,4,5,3,3
0,0,0,0,62,71,58,11
30,43,25,25,10,13,13,10
2,2,8,3,9,13,10,2
28,39,36,5,1,2,1,1
0,0,0,0,9,19,9,4
0,0,0,0,4,2,5,0
11,18,11,2,45,61,44,4
14,13,9,15,16,15,11,4
0,0,0,0,16,23,13,20
4,3,3,0,31,33,27,30
6,5,8,11,16,18,17,19
4,3,4,4,0,0,3,2
1,5,7,9,62,70,61,38
28,24,26,5,0,0,0,0
4,8,2,2,0,0,1,1
8,7,5,13,9,11,11,3
0,0,0,2,17,16,20,25
1,1,5,0,1,0,0,1
1,1,0,2,0,0,0,0
0,4,1,6,75,59,78,29
9,7,6,6,13,17,21,2
17,14,10,38,1,0,0,1
8,2,8,1,1,1,0,2
21,10,12,21,18,15,12,4
60,72,53,15,17,23,23,9
0,0,0,0,17,10,14,25
0,0,0,0,5,7,9,15
9,7,6,1,2,2,3,4
0,0,0,0,0,0,0,0
2,1,4,0,65,57,59,35
36,29,27,2,24,14,13,13
0,0,0,0,6,4,9,6
14,13,22,2,0,0,0,0
14,22,18,12,6,5,5,2
2,2,2,0,59,53,47,26
1,1,1,1,0,0,0,0
42,32,37,51,0,1,2,2
4,4,2,2,0,2,2,0
141,172,131,90,20,10,14,12
3,7,2,2,0,0,1,0
10,12,13,17,25,48,24,28
56,55,49,75,40,44,44,11
53,42,57,18,13,20,9,15
21,13,11,32,8,6,9,6
0,0,0,0,20,19,14,24
0,1,1,2,28,21,23,29
0,0,0,0,10,3,11,13
4,3,4,8,38,23,34,19
2,4,0,0,20,27,20,10
117,124,102,133,60,51,84,90
54,62,49,109,54,77,68,28
3,17,24,14,11,9,9,18
0,0,0,0,9,4,8,5
7,3,3,5,27,27,30,63
3,2,7,5,2,0,2,3
2,3,1,4,4,10,8,9
11,7,7,1,17,20,9,8
0,0,1,1,11,9,11,25
8,8,9,10,9,6,14,1
2,4,1,8,40,55,47,48
2,6,0,0,3,3,6,4
21,29,26,2,15,19,20,25
0,0,0,0,8,5,4,2
57,68,36,36,0,0,0,0
12,12,5,4,44,55,40,20
44,51,39,6,60,68,64,33
0,0,0,0,5,6,8,8
43,61,49,39,5,8,2,11
18,12,26,6,5,8,5,4
17,15,18,6,62,83,66,27
23,22,22,16,36,24,43,57
4,1,5,1,0,0,0,0
31,38,24,6,2,3,5,2
3,6,5,17,3,6,5,5
0,0,0,0,38,36,32,6
4,8,4,4,0,0,0,0
36,28,27,82,133,112,124,184
7,5,5,4,62,70,51,47
76,74,48,12,40,35,43,34
14,16,15,11,13,7,6,2
1,1,1,0,17,28,35,57
1,3,5,1,5,3,5,13
12,21,19,23,66,70,81,224
20,23,29,57,3,5,3,4
2,6,5,0,12,11,6,10
17,19,16,20,0,0,0,0
11,17,9,27,0,0,0,0
0,1,3,2,0,0,0,0
69,62,75,140,0,0,0,0
82,83,75,66,59,54,47,137
40,25,57,11,17,6,15,7
1,4,1,0,13,22,13,22
0,0,0,0,0,0,0,0
30,19,43,26,3,3,1,3
12,14,10,7,25,24,32,3
0,0,0,0,13,10,11,1
46,34,37,52,9,14,6,5
0,0,0,0,15,16,8,9
27,26,37,3,8,8,8,0
0,1,1,0,5,4,3,2
1,4,2,1,3,2,1,0
3,2,1,5,0,0,0,0
13,21,22,3,0,4,1,0
11,5,6,14,15,15,14,1
20,7,32,7,11,9,15,12
0,2,0,1,29,19,34,4
24,19,25,8,1,2,0,0
6,16,11,9,16,19,16,11
29,14,33,27,31,32,28,15
5,5,4,3,5,4,8,7
87,112,77,40,0,0,0,0
0,0,0,0,14,12,1,1
1,3,2,0,1,0,4,0
0,0,0,0,0,0,0,0
0,0,0,0,18,28,15,5
0,0,0,0,62,58,52,56
1,4,2,4,1,0,1,0
6,14,13,17,0,4,6,1
2,0,2,0,0,5,5,2
9,8,5,3,17,17,9,9
10,13,13,33,2,8,2,11
3,2,3,0,0,0,0,0
5,5,3,3,32,33,38,2
4,5,4,0,36,34,35,9
10,11,8,12,19,22,18,1
1,1,0,0,4,7,3,5
31,28,24,69,2,0,3,2
24,11,16,15,1,1,0,2
3,8,8,0,1,3,2,0
4,13,11,11,22,23,24,14
23,29,16,15,19,7,9,27
23,23,31,22,45,63,33,43
6,8,2,5,21,15,20,53
28,19,11,29,0,0,0,0
10,13,13,23,11,11,7,26
19,16,17,18,55,77,53,7
0,0,1,0,2,2,0,1
26,26,19,13,66,45,63,55
20,19,13,10,20,12,16,10
0,0,0,0,0,0,0,0
8,15,6,16,8,6,2,9
26,22,17,7,16,19,4,6
0,0,0,0,0,0,0,0
6,7,8,3,4,3,5,20
4,1,3,0,15,23,20,70
3,3,2,0,0,0,0,0
10,6,12,0,0,1,2,2
7,7,2,2,0,0,0,0
2,6,1,12,3,3,4,0
10,18,17,22,15,30,19,27
2,3,3,5,0,0,0,0
2,2,0,0,13,20,21,9
16,11,10,6,26,24,26,7
20,15,16,13,7,7,3,4
2,2,1,5,45,38,42,7
17,28,27,11,8,14,10,4
32,32,28,26,8,12,15,6
18,18,24,55,28,26,17,3
45,33,38,16,4,1,2,3
1,1,4,3,10,12,16,30
49,57,53,47,0,0,0,4
81,64,80,135,11,10,14,17
7,6,9,3,16,18,22,5
41,49,58,70,2,2,3,7
33,29,30,73,27,39,37,39
1,1,0,0,13,9,13,0
0,0,0,0,19,22,22,28
2,5,2,0,35,34,36,66
24,24,20,11,0,0,0,0
3,1,2,1,0,0,0,1
67,54,71,6,2,1,0,0
4,5,2,0,13,10,13,5
35,29,29,79,0,0,0,0
3,2,7,3,33,37,35,24
53,51,33,86,25,21,27,1
0,0,0,3,59,45,47,31
8,10,15,6,8,7,3,3
2,1,3,1,3,2,2,3
94,56,73,390,3,9,7,8
10,8,9,2,0,2,1,0
96,97,98,8,22,15,13,89
51,48,40,67,0,0,0,0
44,30,58,62,46,32,35,3
0,3,3,2,9,6,12,1
9,5,8,6,0,0,0,0
22,17,14,7,0,0,0,0
3,0,0,0,20,16,12,1
5,10,4,6,10,9,12,3
0,0,0,0,38,45,29,58
63,54,59,32,0,0,0,0
8,9,11,10,33,29,14,52
25,24,19,2,25,28,28,22
12,12,11,10,0,0,0,1
3,4,7,0,1,3,3,1
24,19,19,49,44,50,25,8
0,0,0,0,0,0,0,0
52,70,64,47,28,22,17,7
31,16,36,38,11,10,6,20
17,12,11,5,32,34,36,31
37,43,33,7,68,90,46,62
8,4,12,0,7,7,11,6
0,0,0,0,73,76,64,9
0,3,0,0,10,9,9,6
59,49,43,38,38,45,23,1
65,62,63,37,0,0,2,0
1,1,0,1,9,2,4,2
7,4,7,10,30,37,37,17
3,0,4,5,0,0,0,0
108,106,103,81,6,0,1,0
0,0,0,0,25,20,16,1
6,1,4,2,0,0,0,0
1,0,0,0,6,4,4,3
0,0,0,0,0,0,0,0
1,0,1,0,5,8,3,0
9,10,2,1,3,6,2,5
6,5,4,14,2,1,3,3
7,9,8,3,48,42,50,37
32,30,28,4,2,4,2,1
3,1,3,0,2,2,2,2
4,7,4,4,0,0,0,0
0,0,5,4,0,0,3,0
5,6,5,10,1,4,1,9
33,29,28,89,0,0,0,0
0,0,0,0,0,0,0,0
25,37,29,1,58,39,48,191
9,17,15,10,12,6,8,10
0,2,3,4,36,37,33,98
11,7,3,1,17,16,11,20
52,51,43,61,0,0,0,0
0,0,0,0,0,0,0,0
15,9,12,7,32,19,31,32
0,0,0,0,4,1,1,10
16,11,9,11,6,7,9,6
9,16,12,0,11,4,5,3
21,35,16,59,23,27,24,20
3,1,0,2,40,73,41,1
46,47,38,23,1,0,1,0
45,59,46,34,0,0,0,0
7,2,6,8,3,3,0,2
5,5,5,26,9,5,3,8
18,30,30,8,2,0,0,2
40,31,36,14,7,8,10,2
27,18,39,18,10,16,9,6
10,8,4,4,30,33,29,1
0,0,0,0,0,0,0,0
25,30,12,28,25,19,28,35
20,21,19,0,0,0,0,0
44,72,51,82,0,0,0,0
0,0,0,0,1,5,2,6
27,29,27,39,6,4,6,5
10,3,5,18,29,45,23,30
13,13,14,11,7,11,5,7
0,0,0,0,0,0,0,0
11,11,9,16,6,8,11,10
10,14,13,20,13,11,20,16
0,1,1,0,25,25,18,17
96,96,114,12,10,5,6,24
15,19,15,18,7,6,2,7
7,2,4,2,0,0,0,0
48,52,48,20,4,3,4,9
5,2,2,1,6,9,11,13
17,19,17,55,0,0,0,0
100,98,118,11,82,93,49,9
3,1,3,0,7,9,8,11
38,32,21,3,1,0,1,0
49,43,67,43,4,5,5,0
1,1,7,1,12,11,10,4
23,36,25,22,0,0,0,0
3,2,1,0,0,6,7,2
12,3,8,3,23,25,7,14
0,0,0,0,4,8,7,0
0,0,0,0,23,17,28,5
31,22,21,12,9,8,11,3
0,0,0,0,25,17,15,2
8,4,7,1,0,0,1,5
0,0,0,0,0,0,0,0
3,0,0,2,0,0,0,0
0,0,0,0,37,42,33,7
6,10,6,3,0,0,0,0
0,0,0,0,0,1,2,2
1,2,2,1,0,0,0,0
0,1,0,0,15,4,5,3
30,40,25,20,82,86,78,64
7,9,11,2,17,14,8,23
4,4,3,9,6,9,9,1
49,56,53,175,1,0,0,5
0,0,0,0,1,0,2,0
88,114,62,72,13,10,14,7
24,21,17,17,24,37,19,13
16,10,13,0,11,10,10,2
3,8,9,14,6,6,2,8
0,0,0,0,0,0,0,0
33,20,25,12,29,28,22,1
8,16,15,1,0,0,0,0
16,5,11,35,0,0,1,2
1,0,1,1,19,21,23,3
0,0,0,0,6,6,5,5
26,25,31,0,1,4,7,7
10,9,14,11,0,0,2,1
16,4,12,19,0,0,0,0
43,52,37,12,34,32,43,48
0,1,1,0,0,5,2,2
7,2,7,11,2,0,1,0
0,2,0,0,20,12,22,10
0,3,1,2,11,8,9,0
11,18,15,54,7,5,1,0
2,6,6,4,31,27,35,100
12,11,9,31,21,28,26,13
4,5,4,0,6,6,11,1
17,14,20,46,4,6,2,4
37,45,49,57,12,11,16,22
37,31,42,88,21,19,18,22
48,28,38,30,19,10,10,19
57,60,50,16,0,0,1,0
43,29,35,48,8,9,7,9
0,2,0,1,68,46,66,44
12,11,15,17,46,22,37,92
30,14,38,91,1,2,4,2
4,8,11,4,1,0,1,0
1,3,4,14,46,72,58,41
12,20,17,2,10,14,5,4
105,125,92,73,27,22,19,12
27,16,26,19,31,27,36,9
0,0,0,0,8,10,16,21
27,25,12,46,25,21,12,3
21,13,25,44,2,0,1,0
14,9,10,17,1,4,1,0
0,0,0,1,17,23,23,15
18,9,15,18,10,17,11,8
3,4,0,0,14,21,12,1
22,15,22,46,6,8,7,1
65,45,71,14,14,6,5,7
21,21,35,23,11,17,18,8
41,28,31,39,33,37,39,37
0,0,0,0,15,14,15,17
23,20,22,24,7,6,5,1
0,0,0,0,0,0,0,0
14,13,9,4,26,29,40,50
0,0,0,0,12,10,3,17
9,5,9,2,7,3,9,9
7,8,6,3,17,12,9,22
9,3,6,0,24,25,22,11
44,38,35,0,0,1,0,2
1,2,1,0,8,4,10,2
21,13,20,17,0,2,2,5
10,6,7,12,6,5,9,2
3,1,1,1,37,43,32,68
8,11,18,20,49,69,56,185
0,0,1,0,73,91,94,55
66,76,65,75,0,0,0,0
3,3,2,5,14,15,6,29
23,17,9,7,0,0,0,0
0,0,0,0,1,2,0,1
18,17,18,17,46,28,35,69
35,22,32,19,20,26,21,9
12,8,11,21,1,2,0,2
5,4,1,2,33,25,32,98
4,0,2,1,1,0,0,1
22,21,23,46,12,9,10,5
32,36,25,15,0,0,0,0
22,13,15,21,0,3,1,4
20,12,19,22,6,3,11,7
3,2,2,12,14,18,6,6
14,20,24,13,0,4,2,0
0,0,0,0,10,22,11,19
25,27,21,1,18,27,16,14
3,3,2,2,0,0,1,0
10,17,7,8,12,7,12,0
1,2,1,7,16,9,19,25
35,15,38,74,2,1,2,4
0,0,1,1,0,0,0,0
3,4,7,3,8,14,10,24
6,7,3,0,9,13,11,15
8,12,5,5,8,2,3,2
37,41,32,99,2,4,6,3
2,5,4,5,7,8,7,4
9,8,5,8,0,1,1,0
172,160,191,161,3,2,5,22
39,37,62,17,1,5,3,0
1,3,2,3,0,0,0,0
3,2,3,1,63,76,68,53
12,9,16,14,0,0,0,0
94,101,82,17,24,18,17,11
0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,3
18,24,19,4,65,74,67,171
13,23,9,3,55,58,48,126
0,0,0,0,4,3,3,0
9,12,10,20,0,0,0,0
0,0,0,0,10,9,13,17
3,3,5,6,0,0,0,0
3,5,6,3,7,8,9,14
2,0,3,0,43,47,40,13
32,41,22,199,23,30,18,51
6,7,11,3,51,76,84,30
70,70,50,72,0,0,0,0
23,15,10,7,36,38,31,4
2,1,0,0,40,25,44,129
0,1,1,2,0,2,1,2
0,0,0,0,0,1,0,0
0,1,0,0,6,6,3,9
54,45,57,31,4,3,3,1
0,0,0,2,0,0,0,0
0,0,0,0,27,29,28,6
2,2,7,3,24,32,14,12
0,5,0,0,36,30,33,19
16,12,12,0,37,33,26,25
2,0,0,2,7,5,4,1
2,2,1,1,6,11,13,14
5,4,8,8,82,84,91,146
7,9,2,4,8,5,9,15
29,13,30,33,22,20,24,18
13,14,16,3,8,10,9,10
48,41,41,14,2,1,0,0
15,11,17,9,14,18,20,6
7,6,12,2,61,69,72,77
1,1,1,0,0,0,0,0
0,0,0,0,9,2,6,1
11,9,11,4,66,47,73,108
3,1,4,8,0,0,0,0
0,0,0,0,6,3,2,5
7,5,2,2,3,10,10,1
16,20,9,9,7,8,5,5
4,12,4,8,11,17,16,36
4,6,3,3,0,0,0,0
7,7,7,0,0,0,0,0
47,23,33,12,33,32,31,19
4,4,6,0,12,24,17,4
6,2,1,1,0,0,0,0
28,29,26,20,27,45,26,58
19,16,14,15,44,37,23,45
0,0,0,0,5,5,3,7
0,0,0,3,0,0,0,0
49,49,39,65,9,7,7,6
28,26,27,22,53,50,54,42
0,0,0,0,11,14,21,2
0,0,0,0,0,4,4,1
2,0,1,1,4,2,3,0
7,2,7,5,14,3,11,4
15,15,18,13,0,0,0,0
19,10,21,31,2,3,7,0
39,40,36,73,23,25,26,27
5,11,9,0,1,0,0,0
40,42,47,34,13,19,24,21
30,36,16,48,38,41,32,14
39,30,46,19,21,25,21,45
3,3,4,2,8,13,11,5
19,40,13,24,65,59,71,11
0,0,0,0,0,0,0,0
4,5,8,3,8,5,10,9
0,0,0,0,0,2,2,1
8,26,11,22,0,0,0,0
28,42,23,5,2,2,1,2
28,28,28,19,9,10,15,5
68,82,88,109,8,4,4,8
12,12,13,2,21,13,15,29
0,0,0,0,3,4,6,5
18,25,15,2,25,26,29,71
1,2,1,5,10,5,13,7
17,16,16,5,6,6,6,5
11,6,4,3,1,2,2,1
30,32,30,8,1,0,2,0
0,1,0,2,0,0,0,0
0,0,0,0,91,96,88,44
0,3,2,2,0,0,0,0
11,23,9,3,5,2,6,0
0,0,0,0,23,27,20,6
47,31,51,40,27,33,33,80
1,1,2,1,19,16,15,28
0,0,2,6,0,0,0,0
23,22,15,31,3,1,1,3
16,10,8,7,13,14,18,3
1,1,5,1,11,23,11,25
1,0,1,0,0,0,0,0
0,1,4,1,8,8,8,8
38,36,43,5,0,0,0,0
4,5,11,0,31,34,25,48
4,2,3,2,0,0,0,0
2,1,1,3,0,0,0,0
0,1,3,7,34,24,30,24
6,5,9,0,0,0,0,0
74,50,50,81,27,39,20,46
49,33,35,32,46,70,52,15
46,30,43,14,1,2,0,2
1,1,1,0,12,21,15,2
6,6,5,2,7,7,5,14
53,43,72,31,0,0,0,0
0,0,0,0,11,9,10,7
11,5,2,0,0,0,0,0
0,0,0,0,7,8,3,3
3,1,1,4,18,11,15,1
8,11,6,11,0,0,0,0
47,37,50,2,41,28,42,26
20,26,34,5,6,5,4,5
27,31,21,36,20,15,16,10
28,37,24,2,49,46,56,29
0,0,0,0,0,0,0,0
10,10,10,1,27,19,33,2
0,0,0,0,12,10,7,39
0,0,0,0,0,0,0,0
80,75,63,281,0,0,0,0
3,3,0,3,9,11,5,6
0,0,0,0,3,1,6,2
15,9,17,1,1,3,4,1
11,19,13,4,2,1,1,1
5,11,2,14,1,3,0,1
66,61,74,37,1,1,3,1
23,18,27,14,13,16,17,10
11,12,7,2,53,56,49,12
2,4,2,3,0,0,0,0
10,8,10,3,1,3,1,0
20,22,27,21,0,0,0,0
19,38,22,29,53,53,64,62
55,38,51,92,0,0,0,0
17,11,18,5,10,2,6,2
2,3,2,3,0,1,0,0
30,39,21,29,0,0,0,0
22,24,38,16,0,3,0,0
2,5,10,16,1,0,0,0
12,21,11,22,93,115,97,1
18,28,29,20,31,24,23,35
15,20,5,23,7,6,4,4
0,0,0,0,0,0,1,0
17,10,3,1,15,17,20,68
48,51,39,32,0,0,0,0
9,7,8,20,12,14,13,22
8,9,9,4,12,17,21,4
21,23,17,30,1,0,0,0
2,5,1,1,2,5,7,6
32,29,17,10,42,52,32,60
29,52,45,10,0,0,0,0
0,0,0,0,9,10,6,6
5,6,4,1,15,16,17,4
20,13,16,19,31,29,29,33
36,45,47,42,3,0,1,1
39,45,28,22,7,8,13,9
0,0,0,0,1,2,1,0
4,6,7,0,67,99,73,136
0,0,0,0,5,6,8,5
2,1,5,5,0,0,0,0
34,29,27,10,3,1,1,4
15,12,14,13,27,32,32,3
1,0,0,0,0,0,0,0
12,13,14,4,9,8,11,3
0,0,1,1,3,0,2,2
0,0,0,0,29,10,25,35
0,4,0,3,20,13,17,2
8,2,2,3,0,1,2,3
45,52,37,29,2,1,3,7
3,6,2,11,1,1,0,0
4,4,7,6,1,0,1,0
5,7,6,1,10,8,9,6
11,18,9,5,6,6,3,7
66,82,70,44,1,3,3,2
0,0,0,0,23,16,22,8
