"chrom","label","start","end"
"chr6","chr",30142532,30145510
"chr6","chr",30142874,30147711
"chr6","chr",30143053,30147850
"chr6","chr",30143078,30150594
"chr6","chr",30143121,30156507
"chr6","chr",30143162,30149113
"chr6","chr",30143306,30149292
"chr6","chr",30143358,30152044
"chr6","chr",30143416,30149556
"chr6","chr",30143547,30149559
"chr6","chr",30145425,30149823
"chr6","chr",30146004,30149995
"chr6","chr",30147841,30150041
"chr6","chr",30147864,30152448
"chr6","chr",30147940,30157218
"chr6","chr",30149100,30150150
"chr6","chr",30149137,30152520
NA,"neg",NA,NA
"chr6","chr",30149436,30150853
"chr6","chr",30149558,30151165
"chr6","chr",30149667,30152747
"chr6","chr",30149752,30151396
"chr6","chr",30149927,30151954
"chr6","chr",30150039,30152032
NA,"neg",NA,NA
"chr6","chr",30150124,30157670
"chr6","chr",30150132,30152132
"chr6","chr",30150570,30152331
"chr6","chr",30150593,30153250
"chr6","chr",30150787,30152447
"chr6","chr",30151084,30152665
"chr6","chr",30151349,30152786
"chr6","chr",30151925,30152900
"chr6","chr",30151969,30153460
"chr6","chr",30152011,30153015
"chr6","chr",30152143,30153177
"chr6","chr",30152223,30153793
"chr6","chr",30152327,30153345
"chr6","chr",30152435,30153435
"chr6","chr",30152503,30154020
"chr6","chr",30152664,30153536
"chr6","chr",30152743,30154255
"chr6","chr",30152760,30153684
"chr6","chr",30152837,30158199
"chr6","chr",30152899,30153754
"chr6","chr",30152954,30154973
NA,"neg",NA,NA
"chr6","chr",30153174,30154048
"chr6","chr",30153201,30156170
"chr6","chr",30153286,30154169
"chr6","chr",30153382,30158963
"chr6","chr",30153407,30154672
"chr6","chr",30153428,30156390
"chr6","chr",30153514,30154916
"chr6","chr",30153626,30155111
"chr6","chr",30153760,30156168
"chr6","chr",30153792,30156497
"chr6","chr",30153935,30156403
"chr6","chr",30154009,30156698
"chr6","chr",30154021,30159558
"chr6","chr",30154042,30156467
"chr6","chr",30154168,30156581
"chr6","chr",30154251,30157107
"chr6","chr",30154337,30156693
"chr6","chr",30154918,30157210
"chr6","chr",30154922,30156843
"chr6","chr",30155119,30157092
"chr6","chr",30155202,30157507
"chr6","chr",30156143,30157171
"chr6","chr",30156205,30157735
"chr6","chr",30156331,30157289
"chr6","chr",30156403,30163454
"chr6","chr",30156457,30158103
"chr6","chr",30156466,30157500
"chr6","chr",30156575,30157604
"chr6","chr",30156671,30158331
"chr6","chr",30156683,30157732
"chr6","chr",30156855,30157957
"chr6","chr",30156935,30158538
"chr6","chr",30157036,30158046
"chr6","chr",30157113,30163477
"chr6","chr",30157143,30158172
"chr6","chr",30157194,30158819
"chr6","chr",30157301,30158328
"chr6","chr",30157475,30158519
"chr6","chr",30157501,30159513
"chr6","chr",30157601,30158606
"chr6","chr",30157651,30164334
"chr6","chr",30157722,30158732
"chr6","chr",30157734,30159728
"chr6","chr",30157894,30158960
"chr6","chr",30158044,30159306
"chr6","chr",30158061,30160634
"chr6","chr",30158150,30159506
"chr6","chr",30158200,30164780
"chr6","chr",30158329,30162943
"chr6","chr",30158340,30159511
"chr6","chr",30158516,30159711
"chr6","chr",30158551,30163321
"chr6","chr",30158605,30160079
"chr6","chr",30158742,30160224
"chr6","chr",30158821,30163520
"chr6","chr",30158923,30160576
"chr6","chr",30158961,30165714
"chr6","chr",30159156,30160583
"chr6","chr",30159307,30162851
"chr6","chr",30159507,30163086
"chr6","chr",30159512,30163889
"chr6","chr",30159515,30166915
"chr6","chr",30159651,30163157
"chr6","chr",30159726,30164210
"chr6","chr",30160031,30163297
"chr6","chr",30160128,30164571
"chr6","chr",30160225,30163438
"chr6","chr",30160459,30163530
"chr6","chr",30160582,30163783
"chr6","chr",30162845,30163849
NA,"neg",NA,NA
"chr6","chr",30162947,30163986
"chr6","chr",30162952,30164767
"chr6","chr",30163087,30164208
"chr6","chr",30163263,30164333
"chr6","chr",30163301,30165199
"chr6","chr",30163396,30164504
"chr6","chr",30163449,30168234
"chr6","chr",30163516,30164637
"chr6","chr",30163531,30165707
"chr6","chr",30163698,30164735
"chr6","chr",30163818,30164991
"chr6","chr",30163856,30166271
"chr6","chr",30163926,30165121
"chr6","chr",30164161,30165198
"chr6","chr",30164209,30166288
"chr6","chr",30164235,30169962
"chr6","chr",30164328,30165671
NA,"neg",NA,NA
"chr6","chr",30164564,30166561
"chr6","chr",30164618,30166026
"chr6","chr",30164734,30166279
"chr6","chr",30164736,30172429
"chr6","chr",30164756,30166910
"chr6","chr",30164851,30166406
"chr6","chr",30165014,30166445
"chr6","chr",30165124,30167386
"chr6","chr",30165166,30166537
"chr6","chr",30165262,30173287
"chr6","chr",30165657,30166726
"chr6","chr",30165692,30168179
"chr6","chr",30165743,30166896
"chr6","chr",30166025,30167171
"chr6","chr",30166048,30168495
"chr6","chr",30166208,30167271
"chr6","chr",30166272,30168669
"chr6","chr",30166341,30167372
"chr6","chr",30166425,30173870
NA,"neg",NA,NA
"chr6","chr",30166512,30169079
"chr6","chr",30166536,30168128
"chr6","chr",30166680,30168314
"chr6","chr",30166860,30168435
"chr6","chr",30166892,30169256
"chr6","chr",30166950,30174853
"chr6","chr",30167013,30168494
"chr6","chr",30167184,30168651
"chr6","chr",30167371,30168810
"chr6","chr",30167373,30169865
"chr6","chr",30167743,30168841
"chr6","chr",30168138,30169034
"chr6","chr",30168189,30170339
"chr6","chr",30168195,30175423
"chr6","chr",30168233,30169178
"chr6","chr",30168371,30169773
"chr6","chr",30168436,30172255
"chr6","chr",30168460,30169874
"chr6","chr",30168578,30170253
"chr6","chr",30168638,30172428
"chr6","chr",30168692,30170596
"chr6","chr",30168817,30171562
"chr6","chr",30168834,30178237
"chr6","chr",30168859,30172690
"chr6","chr",30169033,30171945
"chr6","chr",30169078,30173147
"chr6","chr",30169186,30172061
"chr6","chr",30169761,30172206
"chr6","chr",30169774,30173851
"chr6","chr",30169870,30172374
"chr6","chr",30170238,30172669
"chr6","chr",30170338,30174159
"chr6","chr",30170361,30173050
"chr6","chr",30171507,30173100
NA,"neg",NA,NA
"chr6","chr",30172056,30173638
"chr6","chr",30172197,30173731
NA,"neg",NA,NA
"chr6","chr",30172258,30179364
"chr6","chr",30172373,30173862
"chr6","chr",30172442,30175332
"chr6","chr",30172614,30173972
"chr6","chr",30172689,30176098
"chr6","chr",30172737,30174096
"chr6","chr",30173103,30174271
"chr6","chr",30173118,30176104
"chr6","chr",30173189,30174596
"chr6","chr",30173197,30180782
"chr6","chr",30173340,30174808
"chr6","chr",30173669,30174801
"chr6","chr",30173850,30176805
"chr6","chr",30173861,30175192
"chr6","chr",30173869,30180802
"chr6","chr",30173973,30175213
"chr6","chr",30174077,30175331
"chr6","chr",30174106,30178070
"chr6","chr",30174207,30175452
"chr6","chr",30174414,30175668
"chr6","chr",30174648,30175727
"chr6","chr",30174796,30176014
"chr6","chr",30174802,30178106
"chr6","chr",30174852,30181412
"chr6","chr",30174977,30176054
"chr6","chr",30175211,30176537
"chr6","chr",30175292,30179243
"chr6","chr",30175325,30176770
"chr6","chr",30175344,30181847
"chr6","chr",30175429,30176771
"chr6","chr",30175520,30179246
"chr6","chr",30175563,30176956
"chr6","chr",30175684,30177426
"chr6","chr",30175957,30177447
"chr6","chr",30176053,30178063
"chr6","chr",30176087,30179731
"chr6","chr",30176345,30178177
"chr6","chr",30176529,30178341
"chr6","chr",30176770,30178802
"chr6","chr",30176791,30180768
"chr6","chr",30176950,30179117
NA,"neg",NA,NA
"chr6","chr",30177287,30179218
"chr6","chr",30177433,30179372
"chr6","chr",30177491,30181030
"chr6","chr",30178034,30179725
"chr6","chr",30178073,30181279
"chr6","chr",30178188,30180245
"chr6","chr",30178249,30183223
"chr6","chr",30178340,30180556
"chr6","chr",30178342,30181490
"chr6","chr",30178727,30180740
"chr6","chr",30178982,30180795
"chr6","chr",30179232,30181022
"chr6","chr",30179245,30181803
"chr6","chr",30179347,30181024
"chr6","chr",30179700,30181194
"chr6","chr",30179730,30182490
"chr6","chr",30179780,30187197
"chr6","chr",30179986,30181278
"chr6","chr",30180250,30181417
NA,"neg",NA,NA
"chr6","chr",30180747,30183131
"chr6","chr",30180782,30181639
"chr6","chr",30180811,30187314
"chr6","chr",30180905,30181775
"chr6","chr",30181023,30182091
"chr6","chr",30181029,30183454
"chr6","chr",30181142,30182144
"chr6","chr",30181253,30182278
"chr6","chr",30181265,30183818
"chr6","chr",30181313,30193382
"chr6","chr",30181388,30182351
"chr6","chr",30181488,30182489
NA,"neg",NA,NA
"chr6","chr",30181612,30182668
"chr6","chr",30181763,30184631
"chr6","chr",30181771,30183044
"chr6","chr",30181822,30199337
"chr6","chr",30181887,30183130
"chr6","chr",30182106,30183203
"chr6","chr",30182226,30183440
"chr6","chr",30182350,30183747
"chr6","chr",30182354,30186461
"chr6","chr",30182445,30184046
"chr6","chr",30182497,30199651
"chr6","chr",30182620,30184176
"chr6","chr",30182999,30184243
"chr6","chr",30183101,30184385
"chr6","chr",30183111,30187190
"chr6","chr",30183186,30206544
"chr6","chr",30183202,30184604
NA,"neg",NA,NA
"chr6","chr",30183442,30187435
NA,"neg",NA,NA
NA,"neg",NA,NA
"chr6","chr",30184012,30185826
"chr6","chr",30184085,30193248
"chr6","chr",30184132,30185924
"chr6","chr",30184230,30209956
"chr6","chr",30184237,30186295
"chr6","chr",30184336,30193738
"chr6","chr",30184345,30186455
"chr6","chr",30184587,30187030
"chr6","chr",30184689,30187168
"chr6","chr",30185279,30187251
"chr6","chr",30185384,30187416
"chr6","chr",30185827,30188676
"chr6","chr",30186293,30189078
"chr6","chr",30186446,30189220
"chr6","chr",30186460,30194305
NA,"neg",NA,NA
"chr6","chr",30187108,30190931
"chr6","chr",30187203,30195401
"chr6","chr",30187241,30191571
"chr6","chr",30187316,30225081
"chr6","chr",30187374,30192706
"chr6","chr",30187434,30195555
"chr6","chr",30188211,30193204
"chr6","chr",30188695,30193346
"chr6","chr",30189217,30193452
"chr6","chr",30190470,30193731
"chr6","chr",30190825,30193884
"chr6","chr",30190932,30195810
"chr6","chr",30190962,30194257
"chr6","chr",30192594,30194774
"chr6","chr",30193155,30194774
"chr6","chr",30193234,30227289
NA,"neg",NA,NA
"chr6","chr",30193301,30194949
"chr6","chr",30193423,30195361
"chr6","chr",30193730,30195387
"chr6","chr",30193737,30199176
"chr6","chr",30193833,30195554
"chr6","chr",30194264,30195713
"chr6","chr",30194306,30228273
"chr6","chr",30194315,30199650
"chr6","chr",30194377,30195860
"chr6","chr",30194783,30196082
"chr6","chr",30194933,30196124
"chr6","chr",30194936,30201698
"chr6","chr",30195189,30196204
"chr6","chr",30195392,30202367
"chr6","chr",30195393,30196398
"chr6","chr",30195551,30196616
"chr6","chr",30195712,30197648
"chr6","chr",30195795,30206478
"chr6","chr",30195860,30197828
"chr6","chr",30195977,30198610
"chr6","chr",30196083,30198875
"chr6","chr",30196203,30199141
"chr6","chr",30196205,30206480
"chr6","chr",30196334,30199320
NA,"neg",NA,NA
"chr6","chr",30197159,30199646
"chr6","chr",30197771,30199895
"chr6","chr",30198474,30200387
"chr6","chr",30198659,30200801
"chr6","chr",30199079,30201184
"chr6","chr",30199175,30209473
"chr6","chr",30199288,30201684
"chr6","chr",30199356,30229956
"chr6","chr",30199463,30202140
"chr6","chr",30199627,30202213
"chr6","chr",30199647,30209648
"chr6","chr",30199714,30202360
"chr6","chr",30200045,30202883
"chr6","chr",30200810,30204475
"chr6","chr",30201146,30204591
"chr6","chr",30201630,30204928
"chr6","chr",30201685,30209856
"chr6","chr",30201687,30231151
"chr6","chr",30201957,30205436
"chr6","chr",30202154,30205864
"chr6","chr",30202348,30206182
"chr6","chr",30202366,30211752
"chr6","chr",30202580,30206358
"chr6","chr",30203603,30206477
"chr6","chr",30204490,30206546
"chr6","chr",30204903,30207512
"chr6","chr",30204933,30212345
"chr6","chr",30205384,30209022
"chr6","chr",30205848,30209425
"chr6","chr",30206065,30209481
"chr6","chr",30206262,30209631
"chr6","chr",30206415,30209763
"chr6","chr",30206493,30212581
"chr6","chr",30206526,30209887
"chr6","chr",30207523,30210077
"chr6","chr",30207567,30222734
"chr6","chr",30208447,30210624
"chr6","chr",30209034,30210824
"chr6","chr",30209426,30211683
"chr6","chr",30209624,30212237
"chr6","chr",30209637,30222743
"chr6","chr",30209770,30212253
"chr6","chr",30209825,30225032
"chr6","chr",30209872,30212362
"chr6","chr",30209929,30232024
"chr6","chr",30209975,30212580
"chr6","chr",30210068,30227010
"chr6","chr",30210301,30215368
"chr6","chr",30210789,30215658
"chr6","chr",30211670,30222341
"chr6","chr",30211742,30227254
"chr6","chr",30212042,30222354
"chr6","chr",30212253,30222733
"chr6","chr",30212347,30224195
"chr6","chr",30212363,30228014
"chr6","chr",30212494,30224367
"chr6","chr",30212577,30228171
"chr6","chr",30212670,30225016
"chr6","chr",30215443,30225530
"chr6","chr",30215646,30226576
"chr6","chr",30222335,30226887
"chr6","chr",30222714,30226932
"chr6","chr",30222728,30228496
"chr6","chr",30222744,30232955
NA,"neg",NA,NA
"chr6","chr",30224306,30227292
"chr6","chr",30225015,30227395
"chr6","chr",30225037,30228796
"chr6","chr",30225448,30227796
"chr6","chr",30226292,30227988
"chr6","chr",30226614,30228112
"chr6","chr",30226916,30228272
"chr6","chr",30226950,30229653
"chr6","chr",30227185,30228416
"chr6","chr",30227201,30229958
"chr6","chr",30227288,30235207
NA,"neg",NA,NA
NA,"neg",NA,NA
NA,"neg",NA,NA
"chr6","chr",30227803,30229960
"chr6","chr",30228001,30229584
"chr6","chr",30228125,30229733
"chr6","chr",30228145,30230179
"chr6","chr",30228174,30256579
"chr6","chr",30228248,30229893
"chr6","chr",30228415,30230127
"chr6","chr",30228502,30230997
"chr6","chr",30228667,30230284
"chr6","chr",30228725,30231244
"chr6","chr",30228794,30230453
"chr6","chr",30228883,30257922
"chr6","chr",30228991,30230649
"chr6","chr",30229008,30232001
"chr6","chr",30229566,30230756
"chr6","chr",30229732,30230832
"chr6","chr",30229734,30232214
"chr6","chr",30229865,30230971
"chr6","chr",30229959,30232716
"chr6","chr",30230072,30231163
"chr6","chr",30230177,30232954
"chr6","chr",30230214,30231243
"chr6","chr",30230379,30231692
"chr6","chr",30230491,30231975
"chr6","chr",30230649,30232159
"chr6","chr",30230811,30232234
"chr6","chr",30230955,30232662
"chr6","chr",30230972,30233178
"chr6","chr",30231002,30260998
"chr6","chr",30231109,30232671
"chr6","chr",30231184,30234196
NA,"neg",NA,NA
"chr6","chr",30231670,30232937
"chr6","chr",30231967,30233122
"chr6","chr",30232000,30235153
"chr6","chr",30232002,30261579
"chr6","chr",30232133,30233246
"chr6","chr",30232213,30236771
"chr6","chr",30232233,30234022
"chr6","chr",30232447,30234082
"chr6","chr",30232663,30234136
"chr6","chr",30232694,30244032
"chr6","chr",30232707,30262327
"chr6","chr",30232804,30234375
"chr6","chr",30232939,30244641
"chr6","chr",30232941,30234434
"chr6","chr",30233097,30234637
"chr6","chr",30233147,30244704
"chr6","chr",30233226,30234835
"chr6","chr",30233305,30264004
"chr6","chr",30233459,30234985
"chr6","chr",30234042,30235147
"chr6","chr",30234142,30235208
"chr6","chr",30234153,30256543
"chr6","chr",30234280,30235648
"chr6","chr",30234396,30235735
"chr6","chr",30234608,30236664
"chr6","chr",30234724,30236726
"chr6","chr",30234945,30237503
"chr6","chr",30235094,30237510
"chr6","chr",30235161,30256924
"chr6","chr",30235217,30237927
"chr6","chr",30235571,30240388
"chr6","chr",30235672,30242444
"chr6","chr",30236585,30243109
"chr6","chr",30236708,30243640
"chr6","chr",30236755,30257550
"chr6","chr",30236945,30244028
NA,"neg",NA,NA
"chr6","chr",30237784,30244413
"chr6","chr",30239969,30244458
"chr6","chr",30240374,30244632
"chr6","chr",30243110,30257801
"chr6","chr",30243114,30244737
"chr6","chr",30243637,30245077
"chr6","chr",30243997,30245227
"chr6","chr",30244040,30258063
"chr6","chr",30244132,30251171
"chr6","chr",30244240,30252879
"chr6","chr",30244433,30256082
"chr6","chr",30244606,30256523
"chr6","chr",30244692,30260590
"chr6","chr",30244707,30256553
"chr6","chr",30244864,30256772
"chr6","chr",30245197,30256900
"chr6","chr",30246174,30256964
"chr6","chr",30251572,30257276
"chr6","chr",30255013,30257383
"chr6","chr",30256278,30257482
"chr6","chr",30256524,30257620
"chr6","chr",30256556,30260974
"chr6","chr",30256585,30269683
"chr6","chr",30256717,30257729
"chr6","chr",30256803,30261553
"chr6","chr",30256823,30257881
"chr6","chr",30256929,30258048
"chr6","chr",30257127,30258245
"chr6","chr",30257337,30258344
"chr6","chr",30257466,30259319
"chr6","chr",30257505,30261976
"chr6","chr",30257590,30259523
"chr6","chr",30257728,30259737
"chr6","chr",30257777,30262092
"chr6","chr",30257880,30259855
"chr6","chr",30257921,30270547
"chr6","chr",30258024,30260068
"chr6","chr",30258053,30262325
"chr6","chr",30258132,30260547
"chr6","chr",30258234,30260582
"chr6","chr",30258334,30260916
"chr6","chr",30259519,30260961
"chr6","chr",30259652,30261249
"chr6","chr",30259847,30261514
"chr6","chr",30260018,30261680
NA,"neg",NA,NA
"chr6","chr",30260548,30261961
"chr6","chr",30260589,30262964
"chr6","chr",30260633,30272217
"chr6","chr",30260649,30262039
"chr6","chr",30260968,30262164
NA,"neg",NA,NA
"chr6","chr",30261154,30262324
"chr6","chr",30261505,30262409
"chr6","chr",30261549,30263996
NA,"neg",NA,NA
"chr6","chr",30261653,30262591
"chr6","chr",30261771,30262871
"chr6","chr",30261795,30269533
"chr6","chr",30261904,30262886
"chr6","chr",30262052,30263495
"chr6","chr",30262058,30269665
"chr6","chr",30262093,30274271
"chr6","chr",30262163,30263776
"chr6","chr",30262244,30270460
"chr6","chr",30262279,30263914
"chr6","chr",30262378,30264087
"chr6","chr",30262473,30270868
"chr6","chr",30262567,30264238
"chr6","chr",30262705,30264789
NA,"neg",NA,NA
"chr6","chr",30263337,30265801
"chr6","chr",30263761,30266487
"chr6","chr",30263777,30271320
"chr6","chr",30263871,30274880
"chr6","chr",30263926,30267284
"chr6","chr",30263995,30272134
"chr6","chr",30264056,30269476
"chr6","chr",30264172,30269480
"chr6","chr",30264239,30272396
"chr6","chr",30264683,30269672
"chr6","chr",30265069,30270079
"chr6","chr",30265499,30270243
"chr6","chr",30265793,30270368
"chr6","chr",30266477,30270495
"chr6","chr",30269032,30270590
"chr6","chr",30269463,30270773
"chr6","chr",30269524,30273346
"chr6","chr",30269658,30270954
"chr6","chr",30269668,30275881
"chr6","chr",30270078,30271133
"chr6","chr",30270229,30271310
"chr6","chr",30270348,30271626
"chr6","chr",30270446,30273343
"chr6","chr",30270488,30271777
"chr6","chr",30270560,30277812
"chr6","chr",30270589,30272096
"chr6","chr",30270776,30272096
"chr6","chr",30270778,30274254
"chr6","chr",30270935,30272204
"chr6","chr",30271061,30272339
"chr6","chr",30271125,30274269
"chr6","chr",30271225,30272802
"chr6","chr",30271568,30273103
"chr6","chr",30271759,30273313
"chr6","chr",30271967,30273357
"chr6","chr",30272094,30273468
"chr6","chr",30272119,30274850
"chr6","chr",30272177,30279260
"chr6","chr",30272194,30273553
"chr6","chr",30272344,30273873
"chr6","chr",30272373,30274878
"chr6","chr",30272775,30273963
"chr6","chr",30272860,30275161
"chr6","chr",30273038,30274253
"chr6","chr",30273251,30274546
"chr6","chr",30273336,30275477
"chr6","chr",30273342,30274603
"chr6","chr",30273358,30283372
"chr6","chr",30273444,30274862
"chr6","chr",30273545,30275025
"chr6","chr",30273820,30275100
"chr6","chr",30273898,30275718
"chr6","chr",30273947,30275249
"chr6","chr",30274248,30275379
"chr6","chr",30274268,30276127
"chr6","chr",30274270,30284282
"chr6","chr",30274398,30275707
"chr6","chr",30274579,30275866
"chr6","chr",30274662,30277754
"chr6","chr",30274861,30276052
"chr6","chr",30274863,30277767
"chr6","chr",30274879,30286738
"chr6","chr",30274960,30276153
"chr6","chr",30275099,30277142
"chr6","chr",30275111,30279253
"chr6","chr",30275241,30277225
"chr6","chr",30275390,30277378
"chr6","chr",30275398,30279712
"chr6","chr",30275658,30277749
"chr6","chr",30275722,30280403
"chr6","chr",30275736,30293976
"chr6","chr",30275832,30277861
NA,"neg",NA,NA
"chr6","chr",30276126,30280486
"chr6","chr",30276128,30278170
"chr6","chr",30277096,30279096
"chr6","chr",30277219,30279113
"chr6","chr",30277237,30281374
"chr6","chr",30277387,30279246
"chr6","chr",30277725,30279532
"chr6","chr",30277748,30281511
"chr6","chr",30277803,30293978
"chr6","chr",30277855,30279709
"chr6","chr",30277992,30280173
"chr6","chr",30278103,30280388
"chr6","chr",30278888,30280497
"chr6","chr",30279098,30280633
"chr6","chr",30279238,30281263
"chr6","chr",30279247,30281860
"chr6","chr",30279259,30294684
"chr6","chr",30279537,30281305
"chr6","chr",30279708,30281510
"chr6","chr",30279724,30282237
"chr6","chr",30280159,30281810
"chr6","chr",30280186,30282793
"chr6","chr",30280392,30282007
"chr6","chr",30280408,30283241
"chr6","chr",30280496,30282200
"chr6","chr",30280626,30282223
"chr6","chr",30280655,30283258
NA,"neg",NA,NA
"chr6","chr",30281304,30282443
"chr6","chr",30281381,30284002
"chr6","chr",30281480,30282710
"chr6","chr",30281777,30282752
"chr6","chr",30281803,30284105
"chr6","chr",30281878,30282991
"chr6","chr",30282051,30283233
"chr6","chr",30282194,30283352
"chr6","chr",30282232,30285382
"chr6","chr",30282328,30283568
"chr6","chr",30282444,30286599
"chr6","chr",30282450,30283705
"chr6","chr",30282554,30283957
"chr6","chr",30282751,30283975
"chr6","chr",30282944,30284083
"chr6","chr",30283029,30289103
"chr6","chr",30283188,30284235
"chr6","chr",30283246,30291436
"chr6","chr",30283265,30295185
"chr6","chr",30283351,30284403
"chr6","chr",30283529,30285284
"chr6","chr",30283659,30285308
"chr6","chr",30283714,30293060
"chr6","chr",30283754,30285636
"chr6","chr",30283963,30285759
"chr6","chr",30284084,30293184
"chr6","chr",30284093,30285787
"chr6","chr",30284233,30286286
"chr6","chr",30284287,30296071
"chr6","chr",30284366,30286577
"chr6","chr",30284459,30293581
"chr6","chr",30284761,30286734
"chr6","chr",30285299,30287434
"chr6","chr",30285439,30287557
"chr6","chr",30285644,30287738
"chr6","chr",30285746,30287762
"chr6","chr",30285953,30288743
"chr6","chr",30286576,30289014
"chr6","chr",30286577,30293985
"chr6","chr",30286649,30297299
"chr6","chr",30286733,30289644
NA,"neg",NA,NA
"chr6","chr",30287546,30290036
"chr6","chr",30287561,30294199
"chr6","chr",30287646,30290232
"chr6","chr",30287748,30290297
"chr6","chr",30288520,30291339
"chr6","chr",30289026,30291400
"chr6","chr",30289493,30291806
"chr6","chr",30289734,30292263
"chr6","chr",30289992,30293012
"chr6","chr",30290101,30293056
"chr6","chr",30290296,30293152
"chr6","chr",30290411,30293259
"chr6","chr",30291344,30293514
"chr6","chr",30291409,30294662
"chr6","chr",30291787,30293775
"chr6","chr",30291812,30295027
"chr6","chr",30292258,30293934
"chr6","chr",30292764,30294044
"chr6","chr",30293012,30294168
"chr6","chr",30293156,30294302
"chr6","chr",30293156,30295437
"chr6","chr",30293255,30298702
"chr6","chr",30293258,30294627
"chr6","chr",30293513,30295006
"chr6","chr",30293575,30295998
"chr6","chr",30293634,30295008
"chr6","chr",30293909,30295121
"chr6","chr",30293959,30297162
"chr6","chr",30293977,30300012
"chr6","chr",30294043,30295330
"chr6","chr",30294167,30295426
"chr6","chr",30294198,30297338
"chr6","chr",30294301,30295749
"chr6","chr",30294626,30295897
"chr6","chr",30294642,30297574
"chr6","chr",30294668,30303824
"chr6","chr",30294878,30295962
"chr6","chr",30295007,30296383
"chr6","chr",30295026,30298241
"chr6","chr",30295116,30296721
"chr6","chr",30295184,30307819
"chr6","chr",30295279,30296756
"chr6","chr",30295339,30298676
"chr6","chr",30295434,30297083
"chr6","chr",30295528,30297118
"chr6","chr",30295825,30297261
"chr6","chr",30295967,30299823
"chr6","chr",30295973,30297395
"chr6","chr",30296035,30309369
"chr6","chr",30296209,30297497
"chr6","chr",30296572,30297620
"chr6","chr",30296755,30297958
"chr6","chr",30297008,30298237
"chr6","chr",30297114,30298516
"chr6","chr",30297150,30300023
"chr6","chr",30297257,30298659
"chr6","chr",30297292,30309389
"chr6","chr",30297351,30302296
"chr6","chr",30297375,30299309
"chr6","chr",30297463,30299468
"chr6","chr",30297573,30303545
"chr6","chr",30297582,30299749
"chr6","chr",30297929,30299832
"chr6","chr",30297962,30303810
"chr6","chr",30298187,30300001
"chr6","chr",30298373,30300821
"chr6","chr",30298655,30300947
"chr6","chr",30298675,30307418
"chr6","chr",30298701,30310035
"chr6","chr",30298765,30301518
"chr6","chr",30299467,30301912
"chr6","chr",30299472,30307814
"chr6","chr",30299604,30301994
"chr6","chr",30299816,30302290
"chr6","chr",30299907,30308102
"chr6","chr",30299956,30302602
"chr6","chr",30300025,30310438
"chr6","chr",30300485,30302962
"chr6","chr",30300835,30303478
"chr6","chr",30301501,30303552
"chr6","chr",30301521,30308358
"chr6","chr",30301634,30303772
"chr6","chr",30301947,30303886
"chr6","chr",30302295,30307274
"chr6","chr",30302453,30307301
"chr6","chr",30302755,30307403
"chr6","chr",30303001,30307630
"chr6","chr",30303485,30307698
"chr6","chr",30303553,30309165
"chr6","chr",30303580,30311614
"chr6","chr",30303712,30307775
"chr6","chr",30303809,30309333
