"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
1808,2584,2265,2012
947,2387,1521,1028
379,1008,496,483
4412,5913,4785,4832
1473,3088,2234,3783
1504,2789,2135,2019
748,1290,1148,1398
1691,3504,2106,4342
1027,711,1573,1382
1203,1454,1948,1819
2507,1300,2228,2372
846,557,724,1358
2000,885,2593,2275
272,405,338,413
1604,1080,2496,3373
938,1276,566,837
819,430,979,750
2042,1529,2855,2024
1774,1066,2172,2718
1796,2325,2176,2938
445,558,698,418
1559,1774,1731,2125
1209,590,1463,2457
1062,735,1221,1589
1018,532,1404,678
265,516,249,228
1380,2036,1783,2350
1979,1211,3094,5327
651,724,635,500
675,954,1147,1316
2617,2381,3169,4203
610,637,1041,856
262,189,496,493
686,536,840,1602
3436,5365,4411,5312
2777,2632,2601,3048
345,700,602,768
938,543,1571,1421
1161,952,1269,270
1427,1937,2224,4458
1899,3676,3353,3313
633,787,1274,1776
4737,4696,6381,11327
1029,2238,1129,565
860,252,1449,1542
808,1629,1124,786
1957,2742,2463,5564
953,981,1122,600
1347,1360,1579,2836
1016,2651,1278,2077
2275,2461,2837,4229
2360,2442,2631,1760
760,666,1131,1731
1902,2443,2395,3035
1906,2355,2264,5738
683,1390,765,1779
822,624,1152,1120
3927,10272,4283,3708
1558,2533,2585,4506
1418,1704,2121,3019
1808,2071,1599,929
2049,3312,2574,3133
4546,3371,5373,5771
341,246,447,479
895,1192,1234,835
2253,2625,2649,4009
2597,5121,2242,2087
980,1340,1634,2091
1386,1773,1329,1353
888,1281,929,1853
1617,530,2726,3311
2405,2637,3166,4572
1962,1996,2643,5958
1667,2044,2119,1279
1792,3380,2014,3628
986,891,803,784
265,331,414,547
447,909,237,220
1116,1114,1386,666
495,411,793,251
1893,2467,2025,2102
3958,3874,5617,2894
615,879,1239,1338
2875,3591,2633,2167
480,478,324,316
404,310,490,665
1531,2104,2078,1583
1588,408,1937,3930
378,358,479,534
951,969,1350,543
3770,5457,4358,1770
1813,2663,2592,2506
1319,1042,1467,1895
1569,3709,2054,2274
565,715,592,757
879,1400,1251,1681
2763,3086,3253,4227
2559,6234,3451,2543
2703,3025,3041,2007
2711,1106,2794,1784
957,2344,1456,1979
1266,1041,2139,2503
3258,3248,3682,1787
723,526,1365,1156
635,908,608,246
5826,8650,6954,10815
902,2010,1233,1261
754,657,1077,491
1753,3442,2891,2047
1328,1732,1303,1070
1369,1347,1823,3089
519,564,933,987
748,985,923,653
1296,1537,1848,2030
1754,1849,2009,2480
999,940,855,333
1394,2779,1373,2051
1913,299,1951,1644
865,1546,1055,300
1181,1974,997,1867
584,554,642,624
1526,1257,1779,510
2083,1965,2447,1947
2441,427,2959,2690
2609,3528,2738,3403
1787,2283,2203,2951
805,1863,1317,1500
1712,3525,1821,2115
977,412,1257,975
897,1657,726,783
2981,2388,3952,3469
351,694,404,82
637,472,685,569
300,316,254,487
3490,1541,4990,9026
2236,2472,2413,2551
1199,754,707,932
506,251,480,502
4017,3943,4761,8116
1947,2062,1555,1103
1426,1229,1465,1421
666,478,659,427
1827,1968,1485,1316
860,1912,1094,2617
2119,2921,3054,2330
1627,1714,2062,3563
2744,1987,3388,7481
1880,1274,2577,2868
144,112,240,355
2435,2523,3114,4964
6687,6722,7994,8594
1406,1220,1761,371
2391,3224,2854,4167
3763,4519,4871,4890
797,877,904,1031
1893,5714,2603,2346
1518,1393,2278,2323
1642,1525,1792,2275
4121,2525,4585,2445
4679,14068,5863,1388
1350,2829,1639,1062
2819,2830,3626,1412
392,657,502,615
1687,1791,2099,2698
1267,1100,1428,1027
677,628,969,1040
1084,310,1234,2226
1875,2745,2668,1426
1846,3185,1718,1100
2757,3715,3976,6878
1831,2279,2296,3087
1384,1736,1580,1219
1466,1086,1657,909
1864,1910,2656,6771
696,1601,593,720
1239,2282,1553,2441
546,693,906,556
3792,7283,5607,3712
2043,1363,2243,1981
2606,2696,2687,2102
1760,1984,2648,3157
774,1706,984,572
1142,840,1871,2851
2251,927,2845,2169
3409,1523,4001,3656
491,569,780,767
746,471,776,1898
2376,1375,2708,924
1396,703,1857,3916
1497,1446,2793,2394
1479,1681,1969,2056
1157,1260,1464,1499
2684,1952,2970,4290
1294,2612,1762,2611
2365,2954,2537,2168
1959,2701,2166,6405
1509,2351,2041,3479
1548,1452,1559,2364
1550,3457,1979,2862
1955,3269,2196,2923
2340,2638,2930,1185
1418,1147,1754,2171
1574,2983,1981,866
870,812,1675,465
1508,2258,1666,1055
428,645,432,273
290,389,338,195
1434,2493,1776,1798
3176,2460,3349,2220
2116,2011,2409,2492
3666,7260,4251,3528
1675,2248,1521,1352
2887,6492,3231,2935
815,881,1333,1320
1557,3305,1644,2159
2109,2963,2523,2392
1863,3911,3043,5086
940,1152,1212,1569
712,725,870,802
4315,4093,5103,4394
3710,6704,4760,9101
1556,936,2125,1645
827,1057,793,1593
567,583,695,423
1512,1267,1488,1257
2411,1718,3173,5511
2283,2053,2994,1852
1367,1497,2105,2618
587,806,709,485
3457,3914,3245,2273
2771,1653,3535,10227
1674,1931,2016,1469
2328,6597,3119,1534
2620,3056,2687,4828
1343,1253,1840,2417
1526,1218,1914,2150
4639,3495,4926,4914
2887,1837,3201,4401
1085,643,1408,1161
494,613,576,448
1219,1079,1130,1433
4324,9747,5183,3787
2425,1028,2802,4503
2568,1622,2861,3242
420,526,371,329
661,364,1254,1602
959,1220,829,566
1685,829,2182,2336
1126,1971,1891,2483
2367,3233,2274,1476
3398,4008,4505,4104
3191,2553,4047,2942
2881,3061,2656,2205
1202,1613,828,1247
1723,1750,2440,3815
2550,2156,3698,5893
968,1920,1237,986
2352,2663,3069,5450
802,656,1553,1431
4668,8237,5399,6356
930,1705,1105,1150
1990,2767,3073,2422
870,1426,1132,523
1101,2068,1207,582
1441,505,1580,991
4106,9209,5010,6067
2132,1911,3178,2500
1817,1039,1751,1892
1801,2979,2100,889
1328,1603,1967,5061
853,2260,1277,906
1346,1394,1304,1342
1678,1535,2206,2014
434,581,586,690
306,95,265,202
1979,3639,2222,2230
748,675,680,738
1665,2190,1428,1930
973,1773,1048,1009
1092,1468,1164,1962
2153,1404,2163,1506
1656,3390,1402,3260
1575,1446,2147,2466
1138,1757,1472,1014
1240,520,1145,1608
1475,2522,1725,2326
1999,1619,2093,3246
516,359,803,659
850,548,1164,1727
1823,2065,1836,1837
1386,2433,1530,2332
1710,1650,2292,5346
955,862,945,1653
2127,2478,2910,8926
2588,1983,2250,1385
730,383,851,922
788,1297,774,874
1083,1247,1444,1994
1036,905,1191,1159
1977,2727,1963,1840
665,565,847,447
1618,2042,1733,1176
1341,947,2057,1285
871,882,1040,1088
1727,2274,2217,1185
2535,7420,3805,5663
1550,1661,1593,2134
3065,8073,3831,4392
2696,1276,3291,6848
3077,3641,3401,2887
3951,7201,5095,4928
2430,3000,3373,5195
1038,945,961,1487
1514,2483,2003,1837
686,415,759,403
1728,3212,2223,3221
1328,1774,1722,2202
1989,1151,2329,2535
1271,1856,1507,1024
2495,2461,2881,4075
639,1118,937,491
1820,2627,1728,1237
3701,3494,5053,8958
1221,1315,1678,2717
655,530,943,710
1216,2359,1616,672
5058,3076,4902,6296
3185,2710,3942,5620
4980,4967,5680,4739
1471,2827,1561,1603
264,458,378,343
413,315,553,684
1798,3033,2398,2584
1073,1160,1211,547
1765,2500,1995,1283
1195,2155,1341,1000
1253,1588,1051,1880
589,430,857,518
444,461,784,814
1945,2564,2345,1784
1835,2369,1756,3444
2598,1743,3417,5136
967,1412,1597,2255
1625,3043,2338,3794
2065,2087,2825,4329
1008,473,1475,4169
673,627,892,1048
3804,7766,4136,7397
1069,2394,2014,1778
3174,1585,4129,9147
1984,3214,2367,1972
540,380,486,528
2339,3472,2156,1739
3006,3528,3431,5722
1498,2202,1743,1958
1376,1533,1406,1096
1111,840,1204,1291
1148,857,1096,1179
988,1214,645,468
1201,1642,1300,1410
851,717,1015,973
2488,3028,3347,4591
1652,2131,1307,1954
1901,1989,2413,1188
1675,2432,2224,3355
2025,401,2253,5034
373,388,706,1556
3398,2477,4579,1707
185,148,261,271
2066,4790,2986,5793
547,843,1158,779
1734,1266,1963,1651
2688,2922,3572,2562
2346,2391,2569,2537
1931,2437,2519,1790
2607,4377,3123,4013
334,411,249,418
4035,2557,4565,9882
949,1086,1236,980
934,970,1248,174
1630,2486,2007,932
750,844,599,376
683,297,1120,1178
573,614,817,711
706,213,758,1055
1404,1427,1645,1853
1497,1092,2095,1951
2790,3013,3360,2373
1818,997,2657,4003
1793,3607,2283,2008
1540,2286,1525,1102
1421,1347,1484,749
2282,5231,2693,2308
1324,1383,1324,1790
1653,1751,2444,1740
763,417,1010,1283
2026,2302,2261,2206
3081,4112,4210,6397
1883,1323,3651,4453
1265,2065,1789,964
2741,1479,3220,5815
4547,9598,5031,3849
1546,2988,1717,1606
1391,1491,1541,1589
602,634,951,1595
1316,1224,1887,1915
1381,1814,2058,1644
1232,1081,1807,1081
320,479,577,449
777,429,1288,1450
3411,5536,3587,2086
2217,2183,2291,4524
2158,5362,2088,1032
1216,671,1775,1775
3709,2504,3852,3639
2824,3633,3413,3054
542,876,610,640
588,1034,775,598
2593,3616,2642,1793
1299,1412,1337,2462
2935,2011,3470,5114
1188,1870,1340,1119
999,1224,1065,1309
2463,2240,2251,3513
1953,2413,2387,2381
2868,3153,3739,2352
1305,2118,1351,1359
715,830,999,1981
2148,3038,2586,1333
2509,2061,2569,1775
244,355,407,274
1719,1719,2124,3721
1450,1796,1689,1862
949,1009,1303,2400
2773,1683,3005,3462
1043,1194,1161,759
2212,2646,2304,2536
1153,1978,1927,1846
1769,1410,1753,3195
2739,3870,3922,2173
661,335,1002,654
824,344,766,1009
1234,756,1770,1351
554,790,871,554
1937,748,2580,2608
629,699,774,954
3184,3668,3865,2819
1329,2245,1766,1392
531,799,635,269
1574,2229,2331,2022
870,1349,1111,2711
2236,5807,2277,3871
1448,1792,1983,1411
1342,1344,1883,3777
1102,704,1835,492
1011,731,1514,2013
1655,1146,4192,2871
993,1969,986,905
1253,935,1348,872
1014,676,1529,2456
1380,947,2079,3018
1200,1101,1259,1996
1507,2409,1591,1163
1012,1243,794,740
2259,2409,2960,5392
3776,5107,4158,3039
1131,3939,1254,1770
1191,955,1127,1819
2066,1380,2737,2316
2788,987,3023,4773
1088,1882,1338,1736
3359,1890,4048,5652
221,256,228,308
606,695,880,1959
2566,3167,2835,3885
1265,1851,1525,1220
2637,3401,3205,2851
1015,983,1156,450
781,1633,1456,2083
2490,3100,2782,2891
1017,1508,1025,814
3293,4361,4198,2987
1060,2211,1192,2078
1265,1649,1594,1047
1314,1852,1868,2416
2026,1173,2745,3215
830,1362,1288,2365
477,386,388,328
1717,1651,2381,1200
308,499,660,1167
3246,7700,3613,2531
1237,2605,1274,978
1169,2099,1662,1241
845,1187,678,416
2303,3554,2708,1312
706,867,1142,951
2713,636,3465,1706
3335,6302,3399,4102
1507,1764,2047,684
840,1016,788,358
1138,940,1047,965
1051,1336,1070,912
2425,1948,2596,2381
691,622,834,837
2902,1812,3323,5241
532,712,308,248
291,288,307,470
1920,1717,2684,3638
947,446,1435,846
741,810,772,1017
2380,3210,3017,3866
1287,1612,1664,2044
2054,4952,2689,2605
717,439,1013,922
1941,1385,2609,1755
2031,4258,2546,2498
1633,2662,2391,3819
848,1209,1178,1639
1728,859,2724,4641
2578,6573,3038,3218
1303,979,2110,3066
2172,2631,3078,3950
1659,2718,1909,1932
2046,1891,1864,1238
2713,1940,3003,579
4578,5241,4858,3539
1361,1886,1768,1423
2575,2102,3390,3299
2485,2040,3336,4398
1423,991,1987,2436
1029,1664,1381,1053
1897,2191,2713,2707
1504,1125,1557,1226
2531,1964,3053,1659
1553,2363,1836,2986
884,727,1447,2485
2816,5219,2997,3847
1789,838,2379,1508
1093,305,745,414
2957,1474,4469,4592
734,443,997,866
1198,2152,1446,1686
2624,3578,3078,5757
3033,6072,3203,5147
362,457,599,573
1537,1022,1685,1514
3109,4915,3284,3656
800,680,685,1208
1073,2024,1409,1747
2764,948,3426,3656
1747,1139,2411,2252
3174,8880,4263,4405
2061,2797,2726,3652
1248,1313,1458,1245
3363,3413,3553,6303
1522,2105,1996,2356
2647,3018,2212,3215
1147,1702,1687,1557
4286,8618,4167,3293
1726,2117,2332,3611
4936,11855,5726,3478
486,1224,639,301
4586,6037,5421,8459
666,913,598,747
2894,1340,3250,5451
1583,1301,1832,506
530,545,516,355
1902,2207,1798,1517
1212,2077,1349,1299
1852,3015,2176,4488
662,716,440,835
1399,1863,2164,4281
967,1583,1394,1682
3636,5072,4165,6588
789,1198,1096,1204
3054,2864,4043,6279
566,877,773,652
1813,3003,1648,1763
407,523,648,742
793,1155,1084,786
1196,660,1616,1201
848,772,1442,1255
551,589,704,1001
757,1376,1074,311
1509,1893,1455,1605
1941,2934,3127,1645
589,536,776,559
1211,1601,1082,733
2066,1370,1863,3165
2413,5105,2419,1695
1192,1780,1584,988
1987,2765,2429,1547
2270,5810,2938,1049
508,561,718,1148
1632,928,1746,971
230,348,161,138
4020,1656,4790,2813
158,152,246,104
1881,4069,2553,4318
782,642,1061,881
2743,3542,2734,2925
737,444,970,1348
2128,2813,2030,2245
1246,2469,1313,1685
752,734,808,1034
998,1094,1094,1143
1174,2025,1418,2485
1378,1882,1336,1352
3036,1192,3320,7692
2753,2565,3019,3935
1704,2824,2037,1272
1018,2030,1633,1997
2438,3708,2638,2911
416,444,595,441
428,766,487,409
805,2438,713,1366
1878,460,3121,3967
2029,1535,2501,1826
729,578,695,390
1096,1120,1327,766
2545,2595,3491,4436
1887,1170,2022,1851
399,364,546,530
2771,3881,2857,2387
340,388,189,116
1143,1733,2021,4035
813,609,950,768
472,289,511,417
2621,4148,3385,4726
915,1414,961,1361
3069,3286,3158,3748
2970,3218,3979,2914
863,834,989,616
2081,3084,1989,944
748,453,1346,1760
2208,5180,1814,2625
380,757,582,341
1062,1933,1103,1212
1834,2368,1835,1582
1269,2048,1546,1669
1087,1558,1301,2679
316,276,402,1047
2352,2235,3016,6346
1513,1090,2463,2596
1221,1844,2011,2882
1764,2139,2476,1607
540,672,626,1541
893,950,1086,1919
2474,4477,3276,4205
653,1015,787,817
2311,1671,2788,3336
1206,1738,1257,831
726,1294,725,522
1000,1292,1601,1570
3026,2029,3443,2083
1916,3934,1955,1185
2194,1560,2888,3143
851,247,923,1571
948,1236,1071,1732
323,707,632,855
1444,1693,1931,1563
1147,743,1546,1824
836,2428,829,1436
880,719,1211,2169
975,464,1122,1125
470,723,913,1010
2554,2058,3370,3633
2239,1670,2399,1744
1302,2806,2430,2857
3148,5753,3298,2183
1204,816,1976,3112
633,1959,629,469
1489,1504,1292,1829
1525,1322,2027,1903
2076,1934,3155,3605
1555,1787,1340,1267
912,1484,1690,1448
923,917,923,1833
1059,1568,973,1354
1945,5003,2728,2338
1405,1278,1885,4285
881,603,799,950
2995,4546,3294,4792
2621,6864,2604,1237
1257,1632,1388,756
3337,3845,3752,2113
1615,3447,1857,2195
1991,3006,2456,3114
1381,1576,1574,2093
658,839,857,307
215,247,377,255
2079,769,1993,1355
2501,1676,2866,2811
1096,1690,1076,1683
3477,6935,3829,5304
697,596,742,941
792,490,966,1880
2364,3873,3104,5021
311,187,495,431
899,660,1446,3375
754,1179,1037,1639
1094,1290,1520,1512
2086,5214,2859,2590
1076,1554,1289,945
2158,3583,2676,2580
1032,1199,1653,1736
2445,3156,2835,2815
3052,4479,3525,1075
5694,3507,6564,4455
1502,2513,1814,1273
891,864,1320,1502
893,960,1039,966
1317,1583,1678,3427
1689,2348,1840,1174
257,277,351,348
1979,3535,2135,2149
1556,2386,1943,1385
2377,1503,2941,2532
980,1336,1061,1272
1010,553,1768,523
1041,435,1474,2235
3206,3602,2802,3361
2411,2468,2243,2912
5492,3429,6419,6445
1904,3809,2817,767
1468,949,1936,2689
1297,1816,1347,1398
2336,3860,2873,2269
825,1191,1085,1579
1981,1418,2719,2556
507,762,799,2298
476,636,792,834
1668,2915,2266,1106
1671,2180,1798,3222
689,415,1404,3535
387,322,471,820
1317,2861,1537,1423
515,509,743,773
1207,650,1276,1091
331,492,551,1630
474,796,477,371
2643,3776,3330,1778
324,367,534,442
1949,1146,2529,3083
2749,3298,2604,3400
1089,977,1449,2984
1119,340,1090,1479
2154,2488,3383,2813
1590,2391,2427,1159
957,774,1255,433
2792,5218,3211,3876
2226,5358,2207,3717
991,1268,1469,724
1598,1828,1606,1021
3491,2523,3710,4438
1465,2122,1350,1493
1654,2552,1478,1621
162,167,262,180
1073,744,1513,2401
3758,4285,4335,4464
717,562,1181,761
1636,1837,1515,2408
148,85,399,664
486,630,675,784
1608,1101,1931,4377
1638,2788,2497,2506
635,845,576,289
1165,2029,1516,2315
1293,2021,1460,1905
628,202,582,1163
4937,3397,6228,3184
2134,1652,3142,2827
894,560,1124,2364
1056,1030,1338,835
2703,3204,2569,3625
2826,2835,4198,3192
1239,1329,1990,2066
3254,5453,4199,2257
3593,5313,4587,7067
1634,2204,1804,1180
680,739,812,909
1439,1317,1587,1609
895,1037,970,1679
1560,2723,1969,2700
1623,1724,1711,1560
2665,3643,3463,4582
1807,2611,2518,1755
1698,1669,3171,2678
2284,2053,3327,3781
1534,1933,1701,2059
1801,5653,2446,1286
1730,1843,2142,3060
978,760,1007,1870
2084,1016,2193,1662
1612,2429,1795,3226
2313,2380,2385,3685
2211,1730,3255,2405
3403,5651,4762,10678
1000,1809,1414,442
175,121,360,467
1138,769,1466,1086
605,868,574,332
2847,9368,3020,2837
1476,3658,2416,1887
533,278,366,360
987,406,952,886
766,1294,900,1267
1259,1371,2137,2869
904,752,1600,640
1876,1078,1854,2001
3146,3718,3352,3271
4672,8790,5807,3048
1616,907,2507,5210
655,1137,756,1325
800,1366,643,1174
5740,8467,7497,13970
693,365,1468,2059
1362,3100,1641,3216
829,2397,917,915
2650,510,4058,8340
538,280,1001,1722
2213,4528,2794,3126
1907,1396,2107,3019
880,663,1914,2086
568,516,727,604
1613,2830,2064,2733
1361,2373,1952,1676
1918,1905,2199,1477
933,1093,752,683
2395,3124,3398,3131
2503,2213,3404,3016
349,235,329,172
2663,4267,2727,1246
2913,2098,2885,609
445,473,354,377
311,319,482,524
675,1452,607,751
1134,1100,1587,1884
2130,5889,3094,2454
628,676,576,567
541,391,853,831
541,956,656,531
3735,2673,4655,8694
396,710,558,371
2672,4513,3795,2299
1403,609,1726,2781
351,592,554,942
1817,1142,2214,1074
2487,4114,2496,2051
2185,2136,3155,3275
773,216,1211,717
1871,4727,2304,3657
721,1099,741,349
1649,1400,2444,5395
2245,3572,2402,3199
785,763,843,691
1396,1729,1597,2840
772,697,782,806
2255,1910,3202,4880
1273,1282,1786,1950
3954,5879,3852,6756
3303,6860,4495,984
2034,2410,2637,2766
2422,1640,3068,2925
2488,2734,3185,5775
1552,976,1959,3365
2362,4819,2922,3165
2546,2503,3006,3281
562,606,815,504
124,200,107,172
356,985,542,562
3337,2565,3730,7709
3224,3238,4059,2345
1877,3288,2587,3472
1806,1250,1575,1914
2162,830,3069,1854
2155,4223,2137,1952
397,185,348,532
2132,2181,1943,1881
1686,3090,1974,1017
881,741,1045,964
872,1238,1232,1157
447,835,662,641
2178,3713,2976,2697
643,833,462,375
2144,2628,2619,1572
1133,2393,1305,662
2963,3410,3357,2220
1589,1742,1791,1260
1026,2681,1242,1025
433,485,853,570
1689,1621,1973,1887
968,842,1001,813
1940,2458,2422,1879
653,816,824,818
2086,4127,2637,3008
1553,2422,1805,1219
3207,3631,3326,3888
1621,3556,2025,4074
1573,4148,2295,3391
610,609,781,1360
1434,438,1545,717
1685,1504,2559,2332
1865,3925,2417,3458
1094,1703,1297,1211
2513,2488,3200,4446
2499,1788,3137,1834
1050,746,1778,2959
1547,786,2039,2849
914,1148,1097,1550
1288,1668,1137,737
1143,2182,1346,1956
4394,12246,5987,2275
1279,1721,1668,3063
1924,3292,1667,2569
2572,4040,2686,3936
913,1381,911,422
1569,2519,1467,973
2208,2515,2698,4039
1050,1102,1355,469
1109,1167,1396,177
903,1238,771,258
3436,8204,3787,4836
452,949,347,155
2329,4309,2241,1708
832,1216,994,1122
1348,953,1854,3654
2308,2897,2283,1922
623,908,338,391
1297,1980,1983,2702
1795,3054,2759,4868
443,780,652,591
3349,3694,4316,3746
1798,1554,2205,1721
1819,1165,2656,1534
609,477,928,1264
1414,1138,1316,686
1689,1913,2452,3786
2586,4615,2644,3166
2634,5615,3031,5199
1050,1631,1544,981
1921,3447,1976,1840
2516,3379,3167,3690
1911,2566,2693,5616
502,257,600,394
1230,1133,1989,2692
1315,1012,1627,2945
2319,3841,3333,3120
864,1064,1162,657
2009,2606,1942,1904
2705,2527,3187,2661
1885,2394,1661,2161
1588,1697,2126,3229
633,689,511,857
1295,376,1305,1375
845,1404,695,936
2459,3105,3009,2609
2833,8566,2982,3564
2728,5341,3379,800
1791,1772,2621,2220
705,1325,777,1331
3095,4207,3805,4421
2018,2018,3130,3721
493,398,943,1535
1074,1560,898,656
620,1655,1047,985
1803,3453,2167,1031
570,785,724,997
2365,2424,3351,3478
3419,3025,4139,1190
546,1442,456,1300
1130,657,1205,1187
1908,1058,2488,2515
1846,3237,2673,2163
3688,3432,4086,5079
1582,1389,1885,2948
2847,2187,3522,2366
324,315,578,657
1483,4147,1795,1742
2419,7424,3001,2657
1440,757,1319,870
4350,2828,5955,4014
1315,1095,1509,1319
1019,2219,1474,4459
1606,1544,1719,2479
925,2116,1427,2638
1476,764,1655,1918
1039,1715,1367,1246
1256,1222,1110,1044
2415,1358,2744,2831
2788,3719,3383,4137
1261,1672,1526,753
2171,1622,2636,3608
3373,4501,4042,3440
3617,8343,4637,3656
908,726,1142,1010
1177,1286,1587,1036
790,856,1031,1115
1710,634,2455,974
4673,3516,6243,5427
752,389,855,1883
1034,895,1669,1475
352,550,272,264
1070,526,1509,1698
2101,2510,2966,3990
1765,2186,1976,872
2090,1280,2660,2723
2006,1014,2428,3223
1176,1272,1721,1603
2813,2345,3554,4388
4433,6547,5087,4895
1738,3875,2544,3221
273,365,343,188
542,360,1040,1399
2418,3117,2789,1391
2640,2078,3782,1930
1111,909,886,545
2298,3275,3584,2886
511,428,403,507
1340,1376,2103,4220
2665,1467,3103,2239
1628,1819,1402,763
637,1357,578,443
1423,2099,1635,1511
1534,1903,2184,1261
3533,3895,4152,4028
872,1240,927,390
