"rawScores","guideScore","log2_rate_ratio","repl0_fc","chrom","label","start","end"
NA,NA,NA,NA,"chr8","chr",128705722,128705742
NA,NA,NA,NA,"chr8","chr",128705723,128705743
NA,NA,NA,NA,"chr8","chr",128705724,128705744
NA,NA,NA,NA,"chr8","chr",128705726,128705746
NA,NA,NA,NA,"chr8","chr",128705747,128705767
NA,NA,NA,NA,"chr8","chr",128705766,128705786
NA,NA,NA,NA,"chr8","chr",128705767,128705787
NA,NA,NA,NA,"chr8","chr",128705768,128705788
NA,NA,NA,NA,"chr8","chr",128705774,128705794
NA,NA,NA,NA,"chr8","chr",128705799,128705819
NA,NA,NA,NA,"chr8","chr",128705812,128705832
NA,NA,NA,NA,"chr8","chr",128705845,128705865
NA,NA,NA,NA,"chr8","chr",128705880,128705900
NA,NA,NA,NA,"chr8","chr",128705888,128705908
NA,NA,NA,NA,"chr8","chr",128705889,128705909
NA,NA,NA,NA,"chr8","chr",128705901,128705921
NA,NA,NA,NA,"chr8","chr",128705912,128705932
NA,NA,NA,NA,"chr8","chr",128705918,128705938
NA,NA,NA,NA,"chr8","chr",128705926,128705946
NA,NA,NA,NA,"chr8","chr",128705935,128705955
NA,NA,NA,NA,"chr8","chr",128705984,128706004
NA,NA,NA,NA,"chr8","chr",128705985,128706005
NA,NA,NA,NA,"chr8","chr",128705988,128706008
NA,NA,NA,NA,"chr8","chr",128705993,128706013
NA,NA,NA,NA,"chr8","chr",128705997,128706017
NA,NA,NA,NA,"chr8","chr",128706006,128706026
NA,NA,NA,NA,"chr8","chr",128706018,128706038
NA,NA,NA,NA,"chr8","chr",128706019,128706039
NA,NA,NA,NA,"chr8","chr",128706029,128706049
NA,NA,NA,NA,"chr8","chr",128706037,128706057
NA,NA,NA,NA,"chr8","chr",128706048,128706068
NA,NA,NA,NA,"chr8","chr",128706061,128706081
NA,NA,NA,NA,"chr8","chr",128706069,128706089
NA,NA,NA,NA,"chr8","chr",128706076,128706096
NA,NA,NA,NA,"chr8","chr",128706080,128706100
NA,NA,NA,NA,"chr8","chr",128706081,128706101
NA,NA,NA,NA,"chr8","chr",128706094,128706114
NA,NA,NA,NA,"chr8","chr",128706108,128706128
NA,NA,NA,NA,"chr8","chr",128706109,128706129
NA,NA,NA,NA,"chr8","chr",128706112,128706132
NA,NA,NA,NA,"chr8","chr",128706114,128706134
NA,NA,NA,NA,"chr8","chr",128706120,128706140
NA,NA,NA,NA,"chr8","chr",128706121,128706141
NA,NA,NA,NA,"chr8","chr",128706122,128706142
NA,NA,NA,NA,"chr8","chr",128706124,128706144
NA,NA,NA,NA,"chr8","chr",128706141,128706161
NA,NA,NA,NA,"chr8","chr",128706154,128706174
NA,NA,NA,NA,"chr8","chr",128706157,128706177
NA,NA,NA,NA,"chr8","chr",128706187,128706207
NA,NA,NA,NA,"chr8","chr",128706188,128706208
NA,NA,NA,NA,"chr8","chr",128706192,128706212
NA,NA,NA,NA,"chr8","chr",128706197,128706217
NA,NA,NA,NA,"chr8","chr",128706202,128706222
NA,NA,NA,NA,"chr8","chr",128706207,128706227
NA,NA,NA,NA,"chr8","chr",128706240,128706260
NA,NA,NA,NA,"chr8","chr",128706241,128706261
NA,NA,NA,NA,"chr8","chr",128706242,128706262
NA,NA,NA,NA,"chr8","chr",128706282,128706302
NA,NA,NA,NA,"chr8","chr",128706286,128706306
NA,NA,NA,NA,"chr8","chr",128706298,128706318
NA,NA,NA,NA,"chr8","chr",128706300,128706320
NA,NA,NA,NA,"chr8","chr",128706314,128706334
NA,NA,NA,NA,"chr8","chr",128706314,128706334
NA,NA,NA,NA,"chr8","chr",128706327,128706347
NA,NA,NA,NA,"chr8","chr",128706331,128706351
NA,NA,NA,NA,"NA","neg",NA,NA
NA,NA,NA,NA,"chr8","chr",128706344,128706364
NA,NA,NA,NA,"chr8","chr",128706349,128706369
NA,NA,NA,NA,"chr8","chr",128706367,128706387
NA,NA,NA,NA,"chr8","chr",128706370,128706390
NA,NA,NA,NA,"chr8","chr",128706379,128706399
NA,NA,NA,NA,"chr8","chr",128706381,128706401
NA,NA,NA,NA,"chr8","chr",128706385,128706405
NA,NA,NA,NA,"chr8","chr",128706388,128706408
NA,NA,NA,NA,"chr8","chr",128706397,128706417
NA,NA,NA,NA,"chr8","chr",128706398,128706418
NA,NA,NA,NA,"chr8","chr",128706430,128706450
NA,NA,NA,NA,"chr8","chr",128706433,128706453
NA,NA,NA,NA,"chr8","chr",128706434,128706454
NA,NA,NA,NA,"chr8","chr",128706441,128706461
NA,NA,NA,NA,"chr8","chr",128706454,128706474
NA,NA,NA,NA,"chr8","chr",128706468,128706488
NA,NA,NA,NA,"chr8","chr",128706477,128706497
NA,NA,NA,NA,"chr8","chr",128706498,128706518
NA,NA,NA,NA,"chr8","chr",128706512,128706532
NA,NA,NA,NA,"chr8","chr",128706519,128706539
NA,NA,NA,NA,"chr8","chr",128706522,128706542
NA,NA,NA,NA,"chr8","chr",128706538,128706558
NA,NA,NA,NA,"chr8","chr",128706539,128706559
NA,NA,NA,NA,"chr8","chr",128706567,128706587
NA,NA,NA,NA,"chr8","chr",128706596,128706616
NA,NA,NA,NA,"chr8","chr",128706601,128706621
NA,NA,NA,NA,"chr8","chr",128706602,128706622
NA,NA,NA,NA,"chr8","chr",128706603,128706623
NA,NA,NA,NA,"chr8","chr",128706609,128706629
NA,NA,NA,NA,"chr8","chr",128706624,128706644
NA,NA,NA,NA,"chr8","chr",128706631,128706651
NA,NA,NA,NA,"chr8","chr",128706632,128706652
NA,NA,NA,NA,"chr8","chr",128706636,128706656
NA,NA,NA,NA,"chr8","chr",128706639,128706659
NA,NA,NA,NA,"chr8","chr",128706654,128706674
NA,NA,NA,NA,"chr8","chr",128706655,128706675
NA,NA,NA,NA,"chr8","chr",128706656,128706676
NA,NA,NA,NA,"chr8","chr",128706663,128706683
NA,NA,NA,NA,"chr8","chr",128706669,128706689
NA,NA,NA,NA,"chr8","chr",128706670,128706690
NA,NA,NA,NA,"chr8","chr",128706684,128706704
NA,NA,NA,NA,"chr8","chr",128706685,128706705
NA,NA,NA,NA,"chr8","chr",128706686,128706706
NA,NA,NA,NA,"chr8","chr",128706687,128706707
NA,NA,NA,NA,"chr8","chr",128706691,128706711
NA,NA,NA,NA,"chr8","chr",128706692,128706712
NA,NA,NA,NA,"chr8","chr",128706693,128706713
NA,NA,NA,NA,"chr8","chr",128706705,128706725
NA,NA,NA,NA,"chr8","chr",128706706,128706726
NA,NA,NA,NA,"chr8","chr",128706711,128706731
NA,NA,NA,NA,"chr8","chr",128706727,128706747
NA,NA,NA,NA,"chr8","chr",128706728,128706748
NA,NA,NA,NA,"chr8","chr",128706731,128706751
NA,NA,NA,NA,"chr8","chr",128706751,128706771
NA,NA,NA,NA,"chr8","chr",128706756,128706776
NA,NA,NA,NA,"chr8","chr",128706763,128706783
NA,NA,NA,NA,"chr8","chr",128706771,128706791
NA,NA,NA,NA,"chr8","chr",128706777,128706797
NA,NA,NA,NA,"chr8","chr",128706778,128706798
NA,NA,NA,NA,"chr8","chr",128706784,128706804
NA,NA,NA,NA,"chr8","chr",128706785,128706805
NA,NA,NA,NA,"chr8","chr",128706837,128706857
NA,NA,NA,NA,"chr8","chr",128706845,128706865
NA,NA,NA,NA,"chr8","chr",128706854,128706874
NA,NA,NA,NA,"chr8","chr",128706957,128706977
NA,NA,NA,NA,"chr8","chr",128706979,128706999
NA,NA,NA,NA,"chr8","chr",128706983,128707003
NA,NA,NA,NA,"chr8","chr",128706984,128707004
NA,NA,NA,NA,"chr8","chr",128706985,128707005
NA,NA,NA,NA,"chr8","chr",128707000,128707020
NA,NA,NA,NA,"chr8","chr",128707001,128707021
NA,NA,NA,NA,"chr8","chr",128707001,128707021
NA,NA,NA,NA,"chr8","chr",128707021,128707041
NA,NA,NA,NA,"chr8","chr",128707035,128707055
NA,NA,NA,NA,"chr8","chr",128707036,128707056
NA,NA,NA,NA,"chr8","chr",128707076,128707096
NA,NA,NA,NA,"chr8","chr",128707081,128707101
NA,NA,NA,NA,"chr8","chr",128707094,128707114
NA,NA,NA,NA,"chr8","chr",128707096,128707116
NA,NA,NA,NA,"NA","neg",NA,NA
NA,NA,NA,NA,"chr8","chr",128707128,128707148
NA,NA,NA,NA,"chr8","chr",128707129,128707149
NA,NA,NA,NA,"chr8","chr",128707153,128707173
NA,NA,NA,NA,"chr8","chr",128707156,128707176
NA,NA,NA,NA,"chr8","chr",128707164,128707184
NA,NA,NA,NA,"chr8","chr",128707177,128707197
NA,NA,NA,NA,"chr8","chr",128707178,128707198
NA,NA,NA,NA,"chr8","chr",128707192,128707212
NA,NA,NA,NA,"chr8","chr",128707206,128707226
NA,NA,NA,NA,"chr8","chr",128707210,128707230
NA,NA,NA,NA,"chr8","chr",128707213,128707233
NA,NA,NA,NA,"chr8","chr",128707214,128707234
NA,NA,NA,NA,"chr8","chr",128707215,128707235
NA,NA,NA,NA,"chr8","chr",128707219,128707239
NA,NA,NA,NA,"chr8","chr",128707220,128707240
NA,NA,NA,NA,"chr8","chr",128707227,128707247
NA,NA,NA,NA,"chr8","chr",128707229,128707249
NA,NA,NA,NA,"chr8","chr",128707264,128707284
NA,NA,NA,NA,"chr8","chr",128707276,128707296
NA,NA,NA,NA,"chr8","chr",128707292,128707312
NA,NA,NA,NA,"chr8","chr",128707298,128707318
NA,NA,NA,NA,"chr8","chr",128707302,128707322
NA,NA,NA,NA,"chr8","chr",128707305,128707325
NA,NA,NA,NA,"chr8","chr",128707311,128707331
NA,NA,NA,NA,"chr8","chr",128707315,128707335
NA,NA,NA,NA,"chr8","chr",128707317,128707337
NA,NA,NA,NA,"chr8","chr",128707318,128707338
NA,NA,NA,NA,"chr8","chr",128707318,128707338
NA,NA,NA,NA,"chr8","chr",128707319,128707339
NA,NA,NA,NA,"chr8","chr",128707319,128707339
NA,NA,NA,NA,"chr8","chr",128707331,128707351
NA,NA,NA,NA,"chr8","chr",128707332,128707352
NA,NA,NA,NA,"chr8","chr",128707333,128707353
NA,NA,NA,NA,"chr8","chr",128707351,128707371
NA,NA,NA,NA,"chr8","chr",128707397,128707417
NA,NA,NA,NA,"chr8","chr",128707400,128707420
NA,NA,NA,NA,"chr8","chr",128707419,128707439
NA,NA,NA,NA,"chr8","chr",128707423,128707443
NA,NA,NA,NA,"chr8","chr",128707451,128707471
NA,NA,NA,NA,"chr8","chr",128707452,128707472
NA,NA,NA,NA,"chr8","chr",128707471,128707491
NA,NA,NA,NA,"chr8","chr",128707476,128707496
NA,NA,NA,NA,"chr8","chr",128707513,128707533
NA,NA,NA,NA,"chr8","chr",128707544,128707564
NA,NA,NA,NA,"chr8","chr",128707551,128707571
NA,NA,NA,NA,"chr8","chr",128707561,128707581
NA,NA,NA,NA,"chr8","chr",128707562,128707582
NA,NA,NA,NA,"chr8","chr",128707563,128707583
NA,NA,NA,NA,"chr8","chr",128707570,128707590
NA,NA,NA,NA,"chr8","chr",128707571,128707591
NA,NA,NA,NA,"chr8","chr",128707575,128707595
NA,NA,NA,NA,"chr8","chr",128707576,128707596
NA,NA,NA,NA,"chr8","chr",128707577,128707597
NA,NA,NA,NA,"chr8","chr",128707607,128707627
NA,NA,NA,NA,"chr8","chr",128707611,128707631
NA,NA,NA,NA,"chr8","chr",128707615,128707635
NA,NA,NA,NA,"chr8","chr",128707619,128707639
NA,NA,NA,NA,"chr8","chr",128707620,128707640
NA,NA,NA,NA,"chr8","chr",128707625,128707645
NA,NA,NA,NA,"chr8","chr",128707626,128707646
NA,NA,NA,NA,"chr8","chr",128707627,128707647
NA,NA,NA,NA,"chr8","chr",128707628,128707648
NA,NA,NA,NA,"chr8","chr",128707635,128707655
NA,NA,NA,NA,"chr8","chr",128707636,128707656
NA,NA,NA,NA,"chr8","chr",128707666,128707686
NA,NA,NA,NA,"chr8","chr",128707669,128707689
NA,NA,NA,NA,"chr8","chr",128707673,128707693
NA,NA,NA,NA,"chr8","chr",128707678,128707698
NA,NA,NA,NA,"chr8","chr",128707695,128707715
NA,NA,NA,NA,"chr8","chr",128707696,128707716
NA,NA,NA,NA,"chr8","chr",128707697,128707717
NA,NA,NA,NA,"chr8","chr",128707698,128707718
NA,NA,NA,NA,"chr8","chr",128707699,128707719
NA,NA,NA,NA,"chr8","chr",128707730,128707750
NA,NA,NA,NA,"chr8","chr",128707858,128707878
NA,NA,NA,NA,"NA","neg",NA,NA
NA,NA,NA,NA,"chr8","chr",128707880,128707900
NA,NA,NA,NA,"chr8","chr",128707883,128707903
NA,NA,NA,NA,"chr8","chr",128707948,128707968
NA,NA,NA,NA,"chr8","chr",128708213,128708233
NA,NA,NA,NA,"chr8","chr",128708232,128708252
NA,NA,NA,NA,"chr8","chr",128708241,128708261
NA,NA,NA,NA,"chr8","chr",128708256,128708276
NA,NA,NA,NA,"chr8","chr",128708267,128708287
NA,NA,NA,NA,"chr8","chr",128708275,128708295
NA,NA,NA,NA,"chr8","chr",128708276,128708296
NA,NA,NA,NA,"chr8","chr",128708277,128708297
NA,NA,NA,NA,"chr8","chr",128708330,128708350
NA,NA,NA,NA,"chr8","chr",128708333,128708353
NA,NA,NA,NA,"chr8","chr",128708350,128708370
NA,NA,NA,NA,"chr8","chr",128708351,128708371
NA,NA,NA,NA,"chr8","chr",128708363,128708383
NA,NA,NA,NA,"chr8","chr",128708379,128708399
NA,NA,NA,NA,"chr8","chr",128708386,128708406
NA,NA,NA,NA,"chr8","chr",128708393,128708413
NA,NA,NA,NA,"chr8","chr",128708395,128708415
NA,NA,NA,NA,"chr8","chr",128708434,128708454
NA,NA,NA,NA,"chr8","chr",128708438,128708458
NA,NA,NA,NA,"chr8","chr",128708449,128708469
NA,NA,NA,NA,"chr8","chr",128708462,128708482
NA,NA,NA,NA,"chr8","chr",128708484,128708504
NA,NA,NA,NA,"chr8","chr",128708487,128708507
NA,NA,NA,NA,"chr8","chr",128708490,128708510
NA,NA,NA,NA,"chr8","chr",128708493,128708513
NA,NA,NA,NA,"chr8","chr",128708493,128708513
NA,NA,NA,NA,"NA","neg",NA,NA
NA,NA,NA,NA,"chr8","chr",128708506,128708526
NA,NA,NA,NA,"chr8","chr",128708545,128708565
NA,NA,NA,NA,"chr8","chr",128708553,128708573
NA,NA,NA,NA,"chr8","chr",128708570,128708590
NA,NA,NA,NA,"chr8","chr",128708577,128708597
NA,NA,NA,NA,"chr8","chr",128708600,128708620
NA,NA,NA,NA,"chr8","chr",128708601,128708621
NA,NA,NA,NA,"chr8","chr",128708604,128708624
NA,NA,NA,NA,"chr8","chr",128708605,128708625
NA,NA,NA,NA,"chr8","chr",128708611,128708631
NA,NA,NA,NA,"chr8","chr",128708612,128708632
NA,NA,NA,NA,"chr8","chr",128708617,128708637
NA,NA,NA,NA,"chr8","chr",128708625,128708645
NA,NA,NA,NA,"chr8","chr",128708629,128708649
NA,NA,NA,NA,"chr8","chr",128708630,128708650
NA,NA,NA,NA,"chr8","chr",128708631,128708651
NA,NA,NA,NA,"chr8","chr",128708635,128708655
NA,NA,NA,NA,"chr8","chr",128708636,128708656
NA,NA,NA,NA,"chr8","chr",128708654,128708674
NA,NA,NA,NA,"chr8","chr",128708667,128708687
NA,NA,NA,NA,"chr8","chr",128708668,128708688
NA,NA,NA,NA,"chr8","chr",128708679,128708699
NA,NA,NA,NA,"chr8","chr",128708715,128708735
NA,NA,NA,NA,"chr8","chr",128708725,128708745
NA,NA,NA,NA,"chr8","chr",128708729,128708749
NA,NA,NA,NA,"chr8","chr",128708766,128708786
NA,NA,NA,NA,"chr8","chr",128708771,128708791
NA,NA,NA,NA,"chr8","chr",128708808,128708828
NA,NA,NA,NA,"chr8","chr",128708813,128708833
NA,NA,NA,NA,"chr8","chr",128708816,128708836
NA,NA,NA,NA,"chr8","chr",128708817,128708837
NA,NA,NA,NA,"chr8","chr",128708855,128708875
NA,NA,NA,NA,"chr8","chr",128709271,128709291
NA,NA,NA,NA,"chr8","chr",128709361,128709381
NA,NA,NA,NA,"chr8","chr",128709413,128709433
NA,NA,NA,NA,"chr8","chr",128709419,128709439
NA,NA,NA,NA,"chr8","chr",128709424,128709444
NA,NA,NA,NA,"chr8","chr",128709425,128709445
NA,NA,NA,NA,"chr8","chr",128709429,128709449
NA,NA,NA,NA,"chr8","chr",128709430,128709450
NA,NA,NA,NA,"chr8","chr",128709431,128709451
NA,NA,NA,NA,"chr8","chr",128709432,128709452
NA,NA,NA,NA,"chr8","chr",128709433,128709453
NA,NA,NA,NA,"chr8","chr",128709435,128709455
NA,NA,NA,NA,"chr8","chr",128709454,128709474
NA,NA,NA,NA,"chr8","chr",128709472,128709492
NA,NA,NA,NA,"chr8","chr",128709477,128709497
NA,NA,NA,NA,"chr8","chr",128709483,128709503
NA,NA,NA,NA,"chr8","chr",128709503,128709523
NA,NA,NA,NA,"chr8","chr",128709505,128709525
NA,NA,NA,NA,"chr8","chr",128709506,128709526
NA,NA,NA,NA,"chr8","chr",128709509,128709529
NA,NA,NA,NA,"chr8","chr",128709522,128709542
NA,NA,NA,NA,"chr8","chr",128709535,128709555
NA,NA,NA,NA,"chr8","chr",128709542,128709562
NA,NA,NA,NA,"chr8","chr",128709543,128709563
NA,NA,NA,NA,"chr8","chr",128709544,128709564
NA,NA,NA,NA,"chr8","chr",128709567,128709587
NA,NA,NA,NA,"chr8","chr",128709580,128709600
NA,NA,NA,NA,"chr8","chr",128709584,128709604
NA,NA,NA,NA,"chr8","chr",128709585,128709605
NA,NA,NA,NA,"chr8","chr",128709594,128709614
NA,NA,NA,NA,"chr8","chr",128709627,128709647
NA,NA,NA,NA,"chr8","chr",128709635,128709655
NA,NA,NA,NA,"chr8","chr",128709638,128709658
NA,NA,NA,NA,"chr8","chr",128709800,128709820
NA,NA,NA,NA,"chr8","chr",128709806,128709826
NA,NA,NA,NA,"chr8","chr",128709810,128709830
NA,NA,NA,NA,"chr8","chr",128709989,128710009
NA,NA,NA,NA,"chr8","chr",128709999,128710019
NA,NA,NA,NA,"chr8","chr",128710016,128710036
NA,NA,NA,NA,"chr8","chr",128710072,128710092
NA,NA,NA,NA,"chr8","chr",128710110,128710130
NA,NA,NA,NA,"chr8","chr",128710122,128710142
NA,NA,NA,NA,"chr8","chr",128710131,128710151
NA,NA,NA,NA,"chr8","chr",128710135,128710155
NA,NA,NA,NA,"chr8","chr",128710138,128710158
NA,NA,NA,NA,"chr8","chr",128710139,128710159
NA,NA,NA,NA,"chr8","chr",128710142,128710162
NA,NA,NA,NA,"chr8","chr",128710180,128710200
NA,NA,NA,NA,"chr8","chr",128710181,128710201
NA,NA,NA,NA,"chr8","chr",128710194,128710214
NA,NA,NA,NA,"chr8","chr",128710210,128710230
NA,NA,NA,NA,"chr8","chr",128710286,128710306
NA,NA,NA,NA,"chr8","chr",128710293,128710313
NA,NA,NA,NA,"chr8","chr",128710293,128710313
NA,NA,NA,NA,"chr8","chr",128710334,128710354
NA,NA,NA,NA,"chr8","chr",128710335,128710355
NA,NA,NA,NA,"chr8","chr",128710377,128710397
NA,NA,NA,NA,"chr8","chr",128710382,128710402
NA,NA,NA,NA,"chr8","chr",128710383,128710403
NA,NA,NA,NA,"chr8","chr",128710386,128710406
NA,NA,NA,NA,"chr8","chr",128710426,128710446
NA,NA,NA,NA,"chr8","chr",128710426,128710446
NA,NA,NA,NA,"chr8","chr",128710553,128710573
NA,NA,NA,NA,"chr8","chr",128710610,128710630
NA,NA,NA,NA,"chr8","chr",128710617,128710637
NA,NA,NA,NA,"chr8","chr",128710618,128710638
NA,NA,NA,NA,"chr8","chr",128710629,128710649
NA,NA,NA,NA,"chr8","chr",128710649,128710669
NA,NA,NA,NA,"chr8","chr",128710656,128710676
NA,NA,NA,NA,"chr8","chr",128710661,128710681
NA,NA,NA,NA,"chr8","chr",128710662,128710682
NA,NA,NA,NA,"chr8","chr",128710701,128710721
NA,NA,NA,NA,"chr8","chr",128710772,128710792
NA,NA,NA,NA,"chr8","chr",128710777,128710797
NA,NA,NA,NA,"chr8","chr",128710777,128710797
